datasheet_id|line|name|M|WS|BS|S|T|W|A|Ld|Sv|Cost|cost_description|models_per_unit|cost_including_wargear|base_size|base_size_descr|
000000022|1|Nob with Waaagh! Banner|5"|3+|5+|5|5|4|3|7|4+|70||1|false|32mm||
000000024|1|Meganob|5"|3+|5+|5|5|3|3|7|2+|30||2-9|false|40mm||
000000024|2|Boss Meganob|5"|3+|5+|5|5|3|3|7|2+|30||1|false|40mm||
000000025|1|Kommando|6"|3+|5+|4|5|1|2|6|6+|11||4-14|false|32mm||
000000025|2|Boss Nob|6"|3+|5+|5|5|2|3|7|6+|11||1|false|32mm||
000000026|1|Trukk|12"|5+|5+|6|6|10|3|6|4+|70||1|false|Use model||
000000027|1|Stormboy|12"|3+|5+|4|5|1|2|6|6+|10||4-14|false|32mm||
000000027|2|Boss Nob|12"|3+|5+|5|5|2|3|7|6+|10||1|false|32mm||
000000028|1|Deffkopta|14"|3+|5+|4|5|4|2|6|4+|50||3-6|false|75 x 42mm||
000000029|1|Dakkajet|20-60"|5+|5+|6|6|12|3|6|4+|100||1|false|120 x 92mm flying base||
000000030|1|Burna-bommer|20-60"|5+|5+|6|6|12|3|6|4+|135||1|false|120 x 92mm flying base||
000000031|1|Blitza-bommer|20-60"|5+|5+|6|6|12|3|6|4+|150||1|false|120 x 92mm flying base||
000000032|1|Wazbom Blastajet|20-60"|5+|4+|6|6|12|3|6|4+|170||1|false|120 x 92mm flying base||
000000033|1|Warbiker|14"|3+|5+|4|5|3|2|6|4+|25||2-8|false|75 x 42mm||
000000033|2|Boss Nob on Warbike|14"|3+|5+|5|5|4|3|7|4+|25||1|false|75 x 42mm||
000000034|1|Wartrakk|12"|3+|5+|4|5|6|4|6|4+|37||1-5|false|Use model||
000000035|1|Skorcha|12"|3+|5+|4|5|6|4|6|4+|37||1-5|false|Use model||
000000036|1|Warbuggy|14"|3+|5+|4|5|5|4|6|4+|33||1-5|false|Use model||
000000037|1|Big Gun|3"|5+|4+|2|5|3|2|4|5+|8||1-6|false|Use model||
000000038|1|Mek Gun|3"|5+|4+|2|5|6|6|4|5+|40||1-3|false|Use model||
000000039|1|Battlewagon|12"|5+|5+|8|7|16|6|7|3+|105||1|false|Use model||
000000040|1|Deff Dread|6"|3+|5+|5|7|8|3|7|3+|85||1-3|false|60mm||
000000041|1|Killa Kan|6"|4+|4+|5|5|5|3|6|3+|35||3-6|false|60mm||
000000042|1|Morkanaut|8"|3+|5+|8|8|24|4|7|3+|350||1|false|170 x 109mm||
000000043|1|Gorkanaut|8"|3+|5+|8|8|24|5|7|3+|365||1|false|170 x 109mm||
000000044|1|Loota|5"|3+|5+|4|5|1|2|6|6+|14||4-12|false|32mm||
000000044|2|Spanner|5"|3+|5+|4|5|1|2|6|6+|14||1-3|false|32mm||
000000045|1|Flash Git|5"|3+|4+|5|5|2|3|7|4+|25||4-9|false|40mm|Ammo runt 25mm|
000000045|2|Kaptin|5"|3+|4+|5|5|2|3|7|4+|25||1|false|40mm||
000000046|1|Stompa|10"|3+|5+|10|8|40|6|8|3+|675||1|false|Use model||
000000047|1|Zhadsnark da Ripper|14"|2+|5+|6|6|7|5|8|4+|120||1|false|100 x 40mm||
000000048|1|Mek Boss Buzzgob|5"|3+|4+|5|5|6|4|8|4+|||1|false|40mm|Grot Oiler 25mm|
000000049|1|Grot Tank|6+D6"|6+|4+|4|5|4|2|6|3+|35||3-7|false|Use model||
000000049|2|Kommanda|6+D6"|6+|4+|4|5|4|3|7|3+|35||1|false|Use model||
000000050|1|Grot Mega-tank|6+D6"|5+|4+|6|6|11|4|7|3+|90||1|false|Use model||
000000051|1|Squiggoth|10"|3+|5+|8|8|18|4|9|3+|170||1|false|Use model||
000000052|1|Meka-Dread|8"|3+|4+|7|7|16|4|9|3+|165||1|false|Use model||
000000053|1|Lifta Wagon|12"|5+|5+|8|7|16|6|7|4+|155||1|false|Use model||
000000054|1|Big Trakk|14"|5+|5+|6|6|12|4|6|4+|85||1|false|Use model||
000000055|1|Kannonwagon|12"|5+|5+|8|7|16|6|7|3+|150||1|false|Use model||
000000056|1|Kill Tank|12"|4+|5+|8|8|24|8|8|3+|275||1|false|Use model||
000000057|1|Chinork Warkopta|16"|3+|5+|6|6|10|3|6|4+|100||1|false|120 x 92mm flying base||
000000058|1|Kustom Stompa|10"|3+|5+|10|8|40|6|8|3+|700||1|false|Use model||
000000059|1|Gargantuan Squiggoth|10"|3+|5+|12|8|36|8|9|3+|460||1|false|Use model||
000000060|1|Captain|6"|2+|2+|4|4|5|4|9|3+|85||1|false|32mm||
000000061|1|Captain in Terminator Armour|5"|2+|2+|4|4|6|4|9|2+|100||1|false|40mm||
000000063|1|Captain in Gravis Armour|5"|2+|2+|4|5|7|5|9|3+|115||1|false|40mm||
000000064|1|Captain on Bike|14"|2+|2+|4|5|6|4|9|3+|100||1|false|75 x 25mm||
000000065|1|Librarian|6"|3+|3+|4|4|4|3|9|3+|90||1|false|32mm||
000000066|1|Librarian in Terminator Armour|5"|3+|3+|4|4|5|3|9|2+|105||1|false|40mm||
000000067|1|Librarian on Bike|14"|3+|3+|4|5|5|3|9|3+|119||1|false|75 x 25mm||
000000068|1|Techmarine|6"|3+|2+|4|4|4|3|8|2+|70||1|false|32mm||
000000069|1|Servitor|5"|5+|5+|3|3|1|1|6|4+|||4|false|25mm||
000000070|1|Techmarine on Bike|14"|3+|2+|4|5|5|3|8|2+|70||1|false|75 x 25mm||
000000071|1|Chaplain|6"|2+|3+|4|4|4|3|9|3+|80||1|false|32mm||
000000072|1|Chaplain in Terminator Armour|5"|2+|3+|4|4|5|3|9|2+|95||1|false|40mm||
000000073|1|Chaplain on Bike|14"|2+|3+|4|5|5|3|9|3+|95||1|false|75 x 25mm||
000000074|1|Apothecary|6"|3+|3+|4|4|4|3|8|3+|75||1|false|32mm||
000000075|1|Apothecary on Bike|14"|3+|3+|4|5|5|3|8|3+|80||1|false|75 x 25mm||
000000076|1|Primaris Lieutenant|6"|2+|2+|4|4|5|4|8|3+|75||1|false|40mm||
000000077|1|Company Ancient|6"|3+|3+|4|4|4|3|8|3+|75||1|false|32mm||
000000078|1|Company Ancient on Bike|14"|3+|3+|4|5|5|3|8|3+|88||1|false|75 x 25mm||
000000079|1|Primaris Ancient|6"|3+|3+|4|4|5|4|8|3+|80||1|false|40mm||
000000080|1|Company Champion|6"|2+|3+|4|4|4|4|8|3+|55||1|false|32mm||
000000081|1|Company Champion on Bike|14"|2+|3+|4|5|5|4|8|3+|80||1|false|75 x 25mm||
000000082|1|Company Veteran|6"|3+|3+|4|4|2|2|8|3+|20||1-4|false|32mm||
000000082|2|Company Veteran Sergeant|6"|3+|3+|4|4|2|3|9|3+|20||1|false|32mm||
000000083|1|Space Marine Veteran Biker|14"|3+|3+|4|5|2|2|8|3+|34||1-4|false|75 x 25mm||
000000083|2|Veteran Biker Sergeant|14"|3+|3+|4|5|2|3|9|3+|34||1|false|75 x 25mm||
000000084|1|Space Marine|6"|3+|3+|4|4|2|1|7|3+|18||4-9|false|32mm||
000000084|2|Space Marine Sergeant|6"|3+|3+|4|4|2|2|8|3+|18||1|false|32mm||
000000085|1|Scout|6"|3+|3+|4|4|1|1|7|4+|14||4-9|false|25mm||
000000085|2|Scout Sergeant|6"|3+|3+|4|4|1|2|8|4+|14||1|false|25mm||
000000086|1|Intercessor|6"|3+|3+|4|4|2|2|7|3+|20||4-9|false|32mm||
000000086|2|Intercessor Sergeant|6"|3+|3+|4|4|2|3|8|3+|20||1|false|32mm||
000000087|1|Imperial Space Marine|6"|3+|3+|4|4|4|3|8|3+|60||1|false|32mm||
000000088|1|Honour Guard|6"|3+|3+|4|4|2|2|9|2+|||2|false|32mm||
000000089|1|Chapter Ancient|6"|3+|3+|4|4|4|3|9|2+|100||1|false|32mm||
000000090|1|Chapter Champion|6"|2+|3+|4|4|4|5|9|2+|75||1|false|32mm||
000000091|1|Assault Centurion|5"|3+|3+|5|5|4|3|7|2+|55||2-5|false|50mm||
000000091|2|Assault Centurion Sergeant|5"|3+|3+|5|5|4|4|8|2+|55||1|false|50mm||
000000092|1|Sternguard Veteran|6"|3+|3+|4|4|2|2|8|3+|20||4-9|false|32mm||
000000092|2|Sternguard Veteran Sergeant|6"|3+|3+|4|4|2|3|9|3+|20||1|false|32mm||
000000093|1|Vanguard Veteran|6"|3+|3+|4|4|2|2|8|3+|19||4-9|false|32mm||
000000093|2|Vanguard Veteran Sergeant|6"|3+|3+|4|4|2|3|9|3+|19||1|false|32mm||
000000094|1|Dreadnought|6"|3+|3+|6|7|8|4|8|3+|120||1|false|60mm||
000000095|1|Venerable Dreadnought|6"|2+|2+|6|7|8|4|8|3+|135||1|false|60mm||
000000096|1|Contemptor Dreadnought|8"|3+|3+|7|7|9|4|8|3+|150||1|false|60mm||
000000097|1|Ironclad Dreadnought|6"|3+|3+|6|8|8|4|8|3+|135||1|false|60mm||
000000098|1|Terminator|5"|3+|3+|4|4|3|2|8|2+|38||4-9|false|40mm||
000000098|2|Terminator Sergeant|5"|3+|3+|4|4|3|3|9|2+|38||1|false|40mm||
000000099|1|Assault Terminator|5"|3+|3+|4|4|3|2|8|2+|33||4-9|false|40mm||
000000099|2|Assault Terminator Sergeant|5"|3+|3+|4|4|3|3|9|2+|33||1|false|40mm||
000000102|1|Assault Marine|6"|3+|3+|4|4|2|1|7|3+|18||4-9|false|32mm||
000000102|2|Assault Marine Sergeant|6"|3+|3+|4|4|2|2|8|3+|18||1|false|32mm||
000000103|1|Inceptor|10"|3+|3+|4|5|3|2|7|3+|40||2-5|false|40mm||
000000103|2|Inceptor Sergeant|10"|3+|3+|4|5|3|3|8|3+|40||1|false|40mm||
000000104|1|Scout Biker|16"|3+|3+|4|5|2|1|7|4+|30||2-8|false|75 x 25mm||
000000104|2|Scout Biker Sergeant|16"|3+|3+|4|5|2|2|8|4+|30||1|false|75 x 25mm||
000000105|1|Space Marine Biker|14"|3+|3+|4|5|3|1|7|3+|30||2-15|false|75 x 25mm||
000000105|2|Space Marine Biker|14"|3+|3+|4|5|3|1|7|3+|30||2-7|false|75 x 25mm||
000000105|3|Biker Sergeant|14"|3+|3+|4|5|3|2|8|3+|30||1|false|75 x 25mm||
000000105|4|Attack Bike|14"|3+|3+|4|5|4|2|7|3+|30||0-1|false|Use model||
000000106|1|Attack Bike|14"|3+|3+|4|5|4|2|7|3+|50||1-3|false|Use model||
000000107|1|Land Speeder Storm|18"|3+|3+|4|6|7|2|7|4+|50||1|false|65mm||
000000108|1|Land Speeder|18"|3+|3+|4|6|6|2|7|3+|60||1-3|false|65mm||
000000109|1|Rhino|12"|6+|3+|6|7|10|3|8|3+|80||1|false|Use model||
000000110|1|Rhino Primaris|12"|6+|3+|6|7|10|3|8|3+|52||1|false|Use model||
000000111|1|Razorback|12"|6+|3+|6|7|10|3|8|3+|100||1|false|Use model||
000000112|1|Drop Pod|-|-|3+|6|6|8|-|8|3+|70||1|false|Use model||
000000113|1|Stormhawk Interceptor|20-60"|6+|3+|6|7|10|3|8|3+|185||1|false|120 x 92mm flying base||
000000114|1|Stormtalon Gunship|20-50"|6+|3+|6|6|10|3|8|3+|165||1|false|120 x 92mm flying base||
000000115|1|Devastator Marine|6"|3+|3+|4|4|2|1|7|3+|18||4-9|false|32mm||
000000115|2|Devastator Marine Sergeant|6"|3+|3+|4|4|2|2|8|3+|18||1|false|32mm||
000000116|1|Devastator Centurion|5"|3+|3+|5|5|4|3|7|2+|55||2-5|false|50mm||
000000116|2|Devastator Centurion Sergeant|5"|3+|3+|5|5|4|4|8|2+|55||1|false|50mm||
000000117|1|Hellblaster|6"|3+|3+|4|4|2|2|7|3+|33||4-9|false|32mm||
000000117|2|Hellblaster Sergeant|6"|3+|3+|4|4|2|3|8|3+|33||1|false|32mm||
000000118|1|Thunderfire Cannon|3"|6+|2+|3|6|4|1|8|2+|||1|false|Use model||
000000118|2|Techmarine Gunner|6"|3+|2+|4|4|4|3|8|2+|||1|false|25mm||
000000119|1|Predator Destructor|12"|6+|3+|6|7|11|3|8|3+|130||1|false|Use model||
000000120|1|Whirlwind|12"|6+|3+|6|7|11|3|8|3+|125||1|false|Use model||
000000121|1|Vindicator|10"|6+|3+|6|8|11|3|8|3+|120||1|false|Use model||
000000122|1|Hunter|10"|6+|3+|6|8|11|3|8|3+|110||1|false|Use model||
000000123|1|Stalker|10"|6+|3+|6|8|11|3|8|3+|115||1|false|Use model||
000000124|1|Stormraven Gunship|20-45"|6+|3+|8|7|14|6|9|3+|260||1|false|120 x 92mm flying base||
000000125|1|Land Raider|10"|6+|3+|8|8|16|6|9|2+|245||1|false|Use model||
000000126|1|Land Raider Crusader|10"|6+|3+|8|8|16|6|9|2+|245||1|false|Use model||
000000127|1|Land Raider Redeemer|10"|6+|3+|8|8|16|6|9|2+|245||1|false|Use model||
000000128|1|Land Raider Excelsior|10"|6+|3+|8|8|16|6|9|2+|200||1|false|Use model||
000000129|1|Roboute Guilliman|8"|2+|2+|6|6|9|6|10|2+|300||1|false|60mm||
000000130|1|Captain Lysander|5"|2+|2+|4|4|6|4|9|2+|130||1|false|40mm||
000000131|1|Pedro Kantor|6"|2+|2+|4|4|6|5|9|2+|145||1|false|25mm||
000000132|1|Marneus Calgar|6"|2+|2+|4|5|8|6|9|2+|180||1|false|50mm||
000000133|1|Marneus Calgar in Artificer Armour|6"|2+|2+|4|4|6|5|9|2+|235||1|true|50mm||
000000134|1|Captain Sicarius|6"|2+|2+|4|4|5|4|9|2+|115||1|true|25mm||
000000135|1|Chief Librarian Tigurius|6"|3+|3+|4|4|5|4|9|3+|135||1|true|40mm||
000000136|1|Chaplain Cassius|6"|2+|3+|4|5|4|3|9|3+|95||1|true|32mm||
000000137|1|Sergeant Telion|7"|3+|2+|4|4|4|2|8|4+|50||1|false|25mm||
000000138|1|Sergeant Chronus|6"|3+|2+|4|4|4|2|8|3+|35||1|false|25mm||
000000139|1|Tyrannic War Veteran|6"|3+|3+|4|4|2|2|8|3+|17||3-9|false|25mm||
000000139|2|Veteran Sergeant|6"|3+|3+|4|4|2|3|9|3+|17||1|false|25mm||
000000140|1|Terminus Ultra|10"|6+|3+|8|8|16|6|9|2+|250||1|false|Use model||
000000141|1|High Marshal Helbrecht|6"|2+|2+|4|4|8|6|9|2+|160||1|false|60mm||
000000142|1|The Emperor’s Champion|6"|2+|3+|4|4|5|5|9|2+|100||1|false|40mm||
000000143|1|Chaplain Grimaldus|6"|2+|3+|4|4|5|4|9|3+|140||1|true|40mm||
000000143|2|Cenobyte Servitor|6"|4+|4+|3|4|1|1|6|4+|||3|true|28mm||
000000145|1|Initiate|6"|3+|3+|4|4|2|1|7|3+|18||4-9|false|32mm||
000000145|2|Neophyte|6"|3+|3+|4|4|1|1|6|4+|13||0-10|false|25mm||
000000145|3|Sword Brother|6"|3+|3+|4|4|2|2|8|3+|18||1|false|32mm||
000000146|1|Kayvaan Shrike|14"|2+|2+|4|4|6|6|9|3+|135||1|false|40mm||
000000147|1|Vulkan He’stan|6"|2+|2+|4|4|5|4|9|2+|120||1|false|25mm||
000000148|1|Kor’sarro Khan|6"|2+|2+|4|4|6|5|9|3+|110||1|false|40mm||
000000149|1|Kor’sarro Khan on Moondrakkan|14"|2+|2+|4|5|6|4|9|3+|132||1|true|75 x 25mm||
000000150|1|Legionnaire|5"|3+|3+|4|4|1|2|10|3+|25||4-9|false|32mm||
000000150|2|Legionnaire Sergeant|5"|3+|3+|4|4|1|3|10|3+|25||1|false|32mm||
000000243|1|Fortress of Redemption|-|-|4+|6|8|30|-|7|3+|440||1|false|Use model||
000000373|1|Kaldor Draigo|5"|2+|2+|4|4|7|6|9|2+|180||1|false|40mm||
000000374|1|Grand Master Voldus|5"|2+|2+|4|4|6|6|9|2+|150||1|false|40mm||
000000375|1|Grand Master|5"|2+|2+|4|4|6|6|9|2+|135||1|false|40mm||
000000376|1|Brother-Captain|5"|2+|2+|4|4|6|5|9|2+|110||1|false|40mm||
000000377|1|Brother-Captain Stern|5"|2+|2+|4|4|6|6|9|2+|120||1|false|40mm||
000000378|1|Brotherhood Ancient|5"|3+|3+|4|4|5|4|8|2+|100||1|false|40mm||
000000379|1|Brotherhood Champion|6"|2+|2+|4|4|4|5|8|2+|70||1|false|32mm||
000000380|1|Castellan Crowe|6"|2+|2+|4|4|5|6|8|2+|90||1|false|40mm||
000000381|1|Grey Knight|6"|3+|3+|4|4|2|3|7|3+|22||4-9|false|32mm||
000000381|2|Justicar|6"|3+|3+|4|4|2|4|8|3+|22||1|false|32mm||
000000382|1|Brotherhood Terminator|5"|3+|3+|4|4|3|3|7|2+|40||4-9|false|40mm||
000000382|2|Terminator Justicar|5"|3+|3+|4|4|3|4|8|2+|40||1|false|40mm||
000000383|1|Purifier|6"|3+|3+|4|4|2|3|8|3+|23||4-9|false|32mm||
000000383|2|Knight of the Flame|6"|3+|3+|4|4|2|4|9|3+|23||1|false|32mm||
000000384|1|Paladin|5"|2+|3+|4|4|3|4|8|2+|45||2-9|false|40mm||
000000384|2|Paragon|5"|2+|3+|4|4|3|5|9|2+|45||1|false|40mm||
000000385|1|Paladin Ancient|5"|2+|3+|4|4|5|5|9|2+|110||1|false|40mm||
000000386|1|Brotherhood Apothecary|5"|3+|3+|4|4|5|5|8|2+|100||1|false|40mm||
000000387|1|Interceptor|12"|3+|3+|4|4|2|3|7|3+|26||4-9|false|32mm||
000000387|2|Interceptor Justicar|12"|3+|3+|4|4|2|4|8|3+|26||1|false|32mm||
000000388|1|Purgator|6"|3+|3+|4|4|2|3|7|3+|22||4-9|false|32mm||
000000388|2|Purgator Justicar|6"|3+|3+|4|4|2|4|8|3+|22||1|false|32mm||
000000389|1|Nemesis Dreadknight|9"|3+|3+|6|6|13|5|8|2+|130||1|false|120 x 92mm||
000000390|1|Dreadnought|6"|3+|3+|6|7|8|5|8|3+|130||1|false|60mm||
000000391|1|Land Raider|10"|6+|3+|8|8|16|6|9|2+|245||1|false|Use model||
000000392|1|Land Raider Crusader|10"|6+|3+|8|8|16|6|9|2+|245||1|false|Use model||
000000393|1|Land Raider Redeemer|10"|6+|3+|8|8|16|6|9|2+|245||1|false|Use model||
000000395|1|Razorback|12"|6+|3+|6|7|10|3|8|3+|100||1|false|Use model||
000000396|1|Rhino|12"|6+|3+|6|7|10|3|8|3+|80||1|false|Use model||
000000397|1|Servitor|5"|5+|5+|3|3|1|1|6|4+|||4|false|25mm||
000000398|1|Stormraven Gunship|20-45"|6+|3+|8|7|14|6|9|3+|260||1|false|120 x 92mm flying base||
000000399|1|Brotherhood Techmarine|6"|3+|2+|4|4|4|4|8|2+|80||1|false|32mm||
000000400|1|Venerable Dreadnought|6"|2+|2+|6|7|8|5|8|3+|145||1|false|60mm||
000000402|1|Commander in Coldstar Battlesuit|14"|3+|2+|5|5|7|4|10|3+|110||1|false|60mm||
000000403|1|Gun Drone|10"|5+|5+|3|4|1|1|6|4+|10||0-12|false|32mm flying base||
000000403|2|Marker Drone|10"|5+|5+|3|4|1|1|6|4+|10||0-12|false|32mm flying base||
000000403|3|Shield Drone|10"|5+|5+|3|4|2|1|6|4+|15||0-12|false|32mm flying base||
000000404|1|Ethereal|6"|3+|4+|3|3|4|3|10|5+|80||1|false|25mm|40mm on hover drone|
000000405|1|Cadre Fireblade|6"|4+|3+|3|3|4|3|8|4+|50||1|false|25mm||
000000406|1|Commander Farsight|10"|2+|2+|5|5|7|5|10|3+|130||1|false|40mm||
000000407|1|Commander Shadowsun|10"|3+|2+|5|5|7|4|10|3+|150||1|false|50mm||
000000407|2|Advanced Guardian Drone|10"|5+|5+|3|4|1|1|6|4+|||1|false|32mm flying base||
000000407|3|Command-link Drone|10"|5+|5+|3|4|1|1|6|4+|||1|false|32mm flying base||
000000408|1|Aun’Shi|6"|2+|4+|3|3|5|5|10|7+|105||1|false|25mm||
000000409|1|Aun’Va|6"|6+|4+|2|3|6|1|10|5+|||1|false|40mm||
000000409|2|Ethereal Guard|6"|3+|3+|3|3|2|3|10|5+|||2|false|25mm||
000000410|1|Darkstrider|7"|3+|2+|3|3|5|3|9|4+|60||1|false|32mm||
000000411|1|Fire Warrior|6"|5+|4+|3|3|1|1|7|4+|||9|false|25mm||
000000411|2|Fire Warrior Shas’ui|6"|5+|4+|3|3|1|2|8|4+|||1|false|25mm||
000000411|3|Support Turret|-|-|4+|3|3|1|-|4|4+|+10||0-1|false|40mm||
000000412|1|Breacher Fire Warrior|6"|5+|4+|3|3|1|1|7|4+|||9|false|25mm||
000000412|2|Breacher Fire Warrior Shas’ui|6"|5+|4+|3|3|1|2|8|4+|||1|false|25mm||
000000412|3|Support Turret|-|-|4+|3|3|1|-|4|4+|+10||0-1|false|40mm||
000000413|1|Kroot|7"|3+|4+|4|3|1|2|6|6+|6||10-20|false|25mm||
000000414|1|Krootox Rider|7"|3+|4+|6|5|4|4|6|6+|25||1-3|false|40mm||
000000415|1|Kroot Hound|12"|3+|-|3|3|1|3|5|6+|6||4-12|false|25mm||
000000416|1|Kroot Shaper|7"|2+|4+|4|3|4|3|8|6+|25||1|false|25mm||
000000417|1|Stealth Shas’ui|8"|5+|4+|4|4|2|2|8|3+|25||2-5|false|32mm||
000000417|2|Stealth Shas’vre|8"|5+|4+|4|4|2|3|9|3+|25||1|false|32mm||
000000418|1|Crisis Shas’ui|10"|5+|4+|5|5|4|3|8|3+|40||2-5|false|50mm||
000000418|2|Crisis Shas’vre|10"|5+|4+|5|5|4|4|9|3+|40||1|false|50mm||
000000419|1|Crisis Bodyguard Shas’ui|10"|5+|4+|5|5|4|3|8|3+|40||1-5|false|50mm||
000000419|2|Crisis Bodyguard Shas’vre|10"|5+|4+|5|5|4|4|9|3+|40||1|false|50mm||
000000420|1|Ghostkeel Shas’vre|12"|5+|4+|6|7|12|3|9|3+|||1|false|105 x 70mm||
000000420|2|Stealth Drone|10"|5+|5+|3|4|1|1|6|4+|||2|true|32mm flying base||
000000421|1|Riptide Shas’vre|12"|5+|4+|6|7|14|6|9|2+|240||1|false|120 x 92mm||
000000422|1|Pathfinder|7"|5+|4+|3|3|1|1|7|5+|||9|false|25mm||
000000422|2|Pathfinder Shas’ui|7"|5+|4+|3|3|1|2|8|5+|||1|false|25mm||
000000423|1|Piranha|16"|6+|4+|4|6|7|2|7|4+|60||1-5|false|60mm flying base||
000000423|2|Gun Drone|10"|5+|5+|3|4|1|1|6|4+|||2|false|32mm flying base||
000000424|1|Devilfish|12"|6+|4+|6|7|13|3|8|3+|95||1|false|60mm flying base||
000000424|2|Gun Drone|10"|5+|5+|3|4|1|1|6|4+|||2|false|32mm flying base||
000000425|1|Razorshark Strike Fighter|20-50"|6+|4+|6|7|12|3|8|4+|155||1|false|120 x 92mm flying base||
000000426|1|Sun Shark Bomber|20-50"|6+|4+|6|6|12|3|8|4+|165||1|false|120 x 92mm flying base||
000000426|2|Interceptor Drone|20"|5+|5+|3|4|1|1|6|4+|||2|false|32mm flying base||
000000427|1|Vespid Stingwing|14"|4+|4+|4|4|1|1|5|4+|12||4-12|false|25mm||
000000427|2|Vespid Strain Leader|14"|4+|4+|4|4|1|2|8|4+|12||1|false|25mm||
000000428|1|Firesight Marksman|6"|5+|3+|3|3|3|2|8|4+|||1|false|40mm||
000000428|2|Sniper Drone|10"|5+|5+|3|4|1|1|6|4+|||3|false|32mm flying base||
000000430|1|Sky Ray Gunship|12"|6+|4+|6|7|14|3|8|3+|135||1|false|60mm flying base||
000000430|2|Gun Drone|10"|5+|5+|3|4|1|1|6|4+|||2|false|32mm flying base||
000000431|1|Longstrike|12"|6+|3+|6|7|14|3|9|3+|160||1|false|60mm flying base||
000000431|2|Gun Drone|10"|5+|5+|3|4|1|1|6|4+|||2|false|32mm flying base||
000000432|1|Hammerhead Gunship|12"|6+|4+|6|7|14|3|8|3+|145||1|false|60mm flying base||
000000432|2|Gun Drone|10"|5+|5+|3|4|1|1|6|4+|||2|false|32mm flying base||
000000433|1|Broadside Shas’ui|5"|5+|4+|5|5|8|3|8|2+|85||0-2|false|60mm||
000000433|2|Broadside Shas’vre|5"|5+|4+|5|5|8|4|9|2+|85||1|false|60mm||
000000434|1|Stormsurge|8"|5+|4+|8|8|22|3|8|2+|400||1|false|170 x 109mm||
000000435|1|Tidewall Droneport|-|-|4+|6|6|10|-|10|4+|80||1|false|Use model||
000000436|1|Tidewall Shieldline|-|-|-|6|6|10|-|10|4+|80||1|false|Use model||
000000436|2|Tidewall Defence Platform|-|-|-|6|6|10|-|10|4+|80||0-1|false|Use model||
000000437|1|Tidewall Gunrig|-|-|4+|6|6|16|-|10|4+|125||1|false|Use model||
000000438|1|Shas’o R’myr|8"|3+|2+|5|5|5|4|9|3+|110||1|true|60mm||
000000439|1|Shas’o R’alai|8"|3+|2+|5|5|7|4|9|3+|||1|false|65mm||
000000439|2|Blacklight Marker Drone|8"|5+|4+|3|3|1|1|6|4+|||2|false|32mm flying base||
000000440|1|Commander in XV81 Crisis Battlesuit|8"|3+|2+|5|5|5|4|9|3+|100||1|false|60mm||
