faction_id|faction_name|type|roll|name|legend|description|
INQ|Inquisition|Warlord Traits|4|ORDO HERETICUS: NO ESCAPE|None can slip their grasp.|<ul><li>This <span class="kwb">WARLORD</span> is eligible to <a href="/wh40k9ed/the-rules/core-rules/#Performing-a-Heroic-Intervention">perform a Heroic Intervention</a> if it is within 6" horizontally and 5" vertically of any enemy unit, instead of 3" horizontally and 5" vertically. Each time this <span class="kwb">WARLORD</span> makes a Heroic Intervention move, it can move up to 6”. All other rules for <a href="/wh40k9ed/the-rules/core-rules/#2.-Heroic-Interventions">Heroic Interventions</a> still apply.</li><li>When an enemy unit within <a href="/wh40k9ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of this <span class="kwb">WARLORD</span> is chosen to <a href="/wh40k9ed/the-rules/core-rules/#Fall-Back">Fall Back</a>, you can roll one D6; unless any models in that unit have a <a href="/wh40k9ed/the-rules/core-rules/#Minimum-Move">minimum Move</a> characteristic, on a 4+ that unit cannot Fall Back this turn.</li></ul>|
INQ|Inquisition|Warlord Traits|5|ORDO XENOS: ESOTERIC LORE|Their travels have prepared them for anything.|Whilst this <span class="kwb">WARLORD</span> is on the battlefield, roll one D6 each time your opponent uses a Stratagem; on a 5+ you gain 1 <a href="/wh40k9ed/the-rules/core-rules/#Command-Points">Command Point</a>.|
INQ|Inquisition|Warlord Traits|6|ORDO MALLEUS: PSYCHIC MASTERY|The warp bows to their will.|<ul><li>This <span class="kwb">WARLORD</span> knows one additional psychic power from the <b><a href="/wh40k9ed/factions/inquisition/#Telethesia-Discipline">Telethesia discipline</a></b>.</li><li>This <span class="kwb">WARLORD</span> can attempt to <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifest</a> one additional psychic power in your <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a> and attempt to <a href="/wh40k9ed/the-rules/core-rules/#Deny-the-Witch">deny</a> one additional psychic power in your opponent’s Psychic phase.</li></ul>|
SM|Space Marines|Salamanders Warlord Traits|1|ANVIL OF STRENGTH|Vulkan was renowned as the strongest of the Primarchs, and his genetic heritage lends this son of Nocturne great physical might.|Add 2 to the Strength characteristic of this <span class="kwb">WARLORD</span>.|
SM|Space Marines|Salamanders Warlord Traits|2|MIRACULOUS CONSTITUTION|This Salamander’s body seems able to recover from injuries that should prove fatal to even a Space Marine.|When this <span class="kwb">WARLORD</span> would lose a wound, roll one D6; on a 6, that wound is not lost. In addition, at the start of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, this <span class="kwb">WARLORD</span> regains 1 lost wound.|
SM|Space Marines|Salamanders Warlord Traits|3|NEVER GIVE UP|This warrior is dogged in the extreme, refusing to yield even in hopeless situations. Such stoicism in the face of adversity inspires fellow Salamanders to do their duty.|At the end of your <a href="/wh40k9ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, you can select one friendly <span class="tooltip00631" data-tooltip-content="#tooltip_content00631" data-tooltip-anchor="#tooltip_content00631"><span class="kwb">SALAMANDERS</span> <span class="kwb">CORE</span></span> or <span class="tooltip00792" data-tooltip-content="#tooltip_content00792" data-tooltip-anchor="#tooltip_content00792"><span class="kwb">SALAMANDERS</span> <span class="kwb">CHARACTER</span></span> unit within 6" of this <span class="kwb">WARLORD</span>. Until the end of your next Command phase, that unit has the <a href="/wh40k9ed/the-rules/core-rules/#Objective-Secured">Objective Secured</a> ability.|
SM|Space Marines|Salamanders Warlord Traits|4|FORGE MASTER|Like many Salamanders, this champion has personally crafted his own armour, and it provides far greater protection than normal battle-plate.|Add 2 to the Toughness characteristic of this <span class="kwb">WARLORD</span>.|
SM|Space Marines|Salamanders Warlord Traits|5|LORD OF FIRE (AURA)|There are no secrets of flame and fire unknown to this Salamander, and he uses them in battle like no other.|You can re-roll the dice to determine the <a href="/wh40k9ed/the-rules/core-rules/#Number-of-Attacks-1">number of attacks</a> made with <a href="/wh40k9ed/factions/space-marines/#Flame-Weapons">flame weapons</a> by friendly <span class="kwb">SALAMANDERS</span> models whilst their unit is within 6" of this <span class="kwb">WARLORD</span>.|
SM|Space Marines|Salamanders Warlord Traits|6|PATIENT AND DETERMINED|This commander places great value on patience, and his every action is measured and determined, his every blow placed with perfect precision.|Once per <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a> and/or once per <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, when resolving an attack made by this <span class="kwb">WARLORD</span>, do not make a <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>: it automatically scores a hit.|
SM|Space Marines|Imperial Fists Warlord Traits|6|HAND OF DORN|This champion of the Chapter is a true inheritor of the tactical acumen of his Primarch.|Before the battle, if your army is <a href="/wh40k9ed/the-rules/core-rules/#BATTLE-FORGED-ARMIES">Battle-forged</a>, roll one D3; you gain a number of <a href="/wh40k9ed/the-rules/core-rules/#Command-Points">Command Points</a> equal to the result.|
SM|Space Marines|Imperial Fists Warlord Traits|5|ARCHITECT OF WAR (AURA)|Imperial Fist leaders have a gift for bolstering defensive positions.|While a friendly <span class="tooltip00628" data-tooltip-content="#tooltip_content00628" data-tooltip-anchor="#tooltip_content00628"><span class="kwb">IMPERIAL</span> <span class="kwb">FISTS</span> <span class="kwb">CORE</span></span> unit that is receiving the <a href="/wh40k9ed/the-rules/core-rules/#Terrain-and-Cover">benefits of cover</a> is within 6" of this <span class="kwb">WARLORD</span>, each time an attack with an Armour Penetration characteristic of -1 is allocated to a model in that unit, that attack has an Armour Penetration characteristic of 0 instead.|
SM|Space Marines|Imperial Fists Warlord Traits|4|STUBBORN HEROISM|Unyielding are the Imperial Fists, refusing to relent and exacting the bloody price of victory from their foes even when retreat might prove more prudent.|This <span class="kwb">WARLORD</span> cannot <a href="/wh40k9ed/the-rules/core-rules/#Fall-Back">Fall Back</a>. When resolving an attack against this <span class="kwb">WARLORD</span>, halve any damage inflicted (rounding up).|
SM|Space Marines|Imperial Fists Warlord Traits|3|FLEETMASTER|Orbital firepower is often called upon by this leader.|Once per battle, at the end of your <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, if this <span class="kwb">WARLORD</span> remained stationary and did not make any attacks this turn it can call down an orbital strike. If it does, select one point on the battlefield and roll one D6 for each unit within D6" of that point, subtracting 1 from the result if the unit being rolled for is a <a href="/wh40k9ed/the-rules/core-rules/#Characters"><span class="kwb">CHARACTER</span></a>. On a 4+ the unit being rolled for suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|
SM|Space Marines|Imperial Fists Warlord Traits|2|INDOMITABLE|This Imperial Fist refuses to yield whilst foes remain before him.|When resolving an attack made against this <span class="kwb">WARLORD</span>, an unmodified <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a> of 1-3 always fail, irrespective of any abilities that the weapon or the model making that attack may have.|
SM|Space Marines|Imperial Fists Warlord Traits|1|SIEGE MASTER|There are few who have a deeper understanding of the tenets of siege warfare than this son of Dorn.|When resolving an attack made by this <span class="kwb">WARLORD</span> against a <span class="kwb">BUILDING</span> or <span class="kwb">VEHICLE</span> unit, add 1 to the <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>.|
SM|Space Marines|Imperial Fists Warlord Traits|1-2|REFUSE TO DIE|Like the Chapter itself, this Crimson Fists champion defies death against all odds.|The first time this <span class="kwb">WARLORD</span> it destroyed, you can choose to roll one D6 at the end of the phase instead of using any rules that are triggered when a model is destroyed (e.g. the <a href="/wh40k9ed/factions/space-marines/#Stratagems">Only in Death Does Duty End</a> Stratagem) If you do, then on a 4+, set this <span class="kwb">WARLORD</span> back up on the battlefield as close as possible to where they were destroyed and more than 1" away from any enemy models, with D3 wounds remaining.|
SM|Space Marines|Imperial Fists Warlord Traits|3-4|TENACIOUS OPPONENT|This champion fights all the harder when he is outnumbered by his foes.|When you choose this <span class="kwb">WARLORD</span> to fight with, if there are at least five enemy models within 6" of them, add D3 to this <span class="kwb">WARLORD</span>’s Attacks characteristic until the end of the phase.|
SM|Space Marines|Imperial Fists Warlord Traits|5-6|STOIC DEFENDER (AURA)|This leader and his warriors hold their ground no matter the odds.|While a friendly <span class="tooltip00784" data-tooltip-content="#tooltip_content00784" data-tooltip-anchor="#tooltip_content00784"><span class="kwb">CRIMSON</span> <span class="kwb">FISTS</span> <span class="kwb">CORE</span></span> or <span class="tooltip00785" data-tooltip-content="#tooltip_content00785" data-tooltip-anchor="#tooltip_content00785"><span class="kwb">CRIMSON</span> <span class="kwb">FISTS</span> <span class="kwb">CHARACTER</span></span> unit is within 6" of this <span class="kwb">WARLORD</span>, that unit has the <a href="/wh40k9ed/the-rules/core-rules/#Objective-Secured">Objective Secured</a> ability. If a unit already has this ability, each model in that unit counts as one additional model for the purposes of determining control of <a href="/wh40k9ed/the-rules/core-rules/#Objective-Markers">objective markers</a>.|
CSM|Chaos Space Marines|Word Bearers Warlord Traits|6|SACRILEGIOUS REGENERATION|Giving up one’s soul and purpose to the Dark Gods has garnered their favour. The very energy of the immaterium now seeps through this warlord’s veins, healing afflictions of the material realm.|<ul><li>Add 1 to this <span class="kwb">WARLORD</span>’s Wounds characteristic.</li><li>At the start of your turn, this <span class="kwb">WARLORD</span> regains up to D3 lost wounds.</li></ul>|
CSM|Chaos Space Marines|Word Bearers Warlord Traits|5|DIABOLIST|This warlord etches diabolical incantations into their armour and skin to channel the protection of the warp.|When this <span class="kwb">WARLORD</span> would lose a wound, roll one D6, adding 3 to the result if that wound would be lost as the result of a <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>; on a 6+ that wound is not lost.|
CSM|Chaos Space Marines|Word Bearers Warlord Traits|4|MASTER OF THE UNION|This warlord leads their daemonic brethren with fearsome influence, drawing forth the unholy emotions of the corrupted.|Add 1 to the Attacks characteristic of models in friendly <span class="tooltip01838" data-tooltip-content="#tooltip_content01838" data-tooltip-anchor="#tooltip_content01838"><span class="kwb">WORD</span> <span class="kwb">BEARERS</span> <span class="kwb">DAEMON</span></span> units whilst their unit is within 6" of this <span class="kwb">WARLORD</span>.|
CSM|Chaos Space Marines|Word Bearers Warlord Traits|3|DAEMONIC WHISPERS|Blessings from the empyrean guide this warlord and his followers.|<ul><li>If your army is <a href="/wh40k9ed/the-rules/core-rules/#BATTLE-FORGED-ARMIES">Battle-forged</a>, roll one D3 before the battle begins; you gain a number of additional <a href="/wh40k9ed/the-rules/core-rules/#Command-Points">Command points</a> equal to the result.</li><li>Once per battle, if this <span class="kwb">WARLORD</span> is on the battlefield, you can re-roll a single <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>, <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>, damage roll or <a href="/wh40k9ed/the-rules/core-rules/#4.-Saving-Throw">saving throw</a>.</li></ul>|
CSM|Chaos Space Marines|Word Bearers Warlord Traits|2|EXALTED POSSESSION|This warlord shares his flesh with a powerful Daemon. Physically stronger and faster than mere mortals, he venerates the pantheon with this union.|<ul><li>This <span class="kwb">WARLORD</span> gains the <span class="tooltip01402" data-tooltip-content="#tooltip_content01402" data-tooltip-anchor="#tooltip_content01402"><span class="kwb">POSSESSED</span></span> and <span class="tooltip01400" data-tooltip-content="#tooltip_content01400" data-tooltip-anchor="#tooltip_content01400"><span class="kwb">DAEMON</span></span> keywords (if they don’t already have them).</li><li>Add 1 to the Strength and Attacks characteristics of this <span class="kwb">WARLORD</span>, and add 1" to this <span class="kwb">WARLORD</span>’s Move characteristic.</li></ul>|
CSM|Chaos Space Marines|Word Bearers Warlord Traits|1|THE VOICE OF LORGAR|This warlord speaks with the authority of his Primarch; when he commands, others follow without question or hesitation.|Add 3" to the range of this <span class="kwb">WARLORD</span>’s <a href="/wh40k9ed/the-rules/core-rules/#Aura-Abilities">aura abilities</a> (e.g. <span class="redfont">Lord of Chaos</span>).|
CSM|Chaos Space Marines|Night Lords Warlord Traits|6|DIRTY FIGHTER|To this warlord, the very notion of fighting fair is alien. He will gang up with his brothers to lay low the enemy.|Whilst there are more friendly models within 3" of this <span class="kwb">WARLORD</span> than enemy models, when resolving an attack made with a melee weapon by this <span class="kwb">WARLORD</span>, add 1 to the <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>.|
CSM|Chaos Space Marines|Night Lords Warlord Traits|5|ONE WITH THE SHADOWS|So skilled at blending into darkness is this warlord, that it is difficult to discern where his corporeal form ends and the shadows begin.|<ul><li>When resolving an attack made against this <span class="kwb">WARLORD</span> whilst they are entirely on or within a <a href="/wh40k9ed/the-rules/core-rules/#Terrain-Features-1">terrain</a> feature, add 1 to the <a href="/wh40k9ed/the-rules/core-rules/#4.-Saving-Throw">saving throw</a> (excluding <a href="/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable saving throws</a>).</li><li>Whilst this <span class="kwb">WARLORD</span> is entirely on or within a terrain feature, improve its invulnerable save by 1, to a maximum of 3+ (e.g. a 4+ invulnerable save becomes 3+).</li></ul>|
CSM|Chaos Space Marines|Night Lords Warlord Traits|4|KILLING FURY|This warlord launches himself into the heart of enemy lines to slake his thirst for butchery.|Each time this <span class="kwb">WARLORD</span> is selected to Fight, if they made a <a href="/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit">charge move</a>, were charged or <a href="/wh40k9ed/the-rules/core-rules/#Performing-a-Heroic-Intervention">performed a Heroic Intervention</a> during this turn, until that Fight is resolved, add D3 to the Attacks characteristic of this <span class="kwb">WARLORD</span>.|
CSM|Chaos Space Marines|Night Lords Warlord Traits|3|MURDEROUS REPUTATION|Even amongst a breed of murderers, this warlord has gained a notorious reputation for his mastery of the killing art.|When resolving an attack made by this <span class="kwb">WARLORD</span>, an unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 6 inflicts 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> on the target in addition to any other damage.|
CSM|Chaos Space Marines|Night Lords Warlord Traits|2|ONE PIECE AT A TIME|This warlord prefers to toy with his prey, striking hard and fast, then vanishing once more, his injured and helpless victims completely at his mercy.|<ul><li>This <span class="kwb">WARLORD</span> can charge in a turn in which they <a href="/wh40k9ed/the-rules/core-rules/#Fall-Back">Fell Back</a>.</li><li>When resolving an attack made with a melee weapon against this <span class="kwb">WARLORD</span>, subtract 1 from the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.</li></ul>|
CSM|Chaos Space Marines|Night Lords Warlord Traits|1|NIGHT HAUNTER’S CURSE|Some Night Lords warlords share the same curse of foresight that plagued their Primarch.|Once per battle round, you can re-roll a single <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>, <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>, damage roll, <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advance roll</a>, <a href="/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit">charge roll</a> or <a href="/wh40k9ed/the-rules/core-rules/#4.-Saving-Throw">saving throw</a> made for this <span class="kwb">WARLORD</span>.|
CSM|Chaos Space Marines|Alpha Legion Warlord Traits|6|FACELESS COMMANDER|This warlord makes use of doubles and proxies to mask their position on the battlefield.|Once per battle, at the end of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, you can remove this <span class="kwb">WARLORD</span> from the battlefield and set them up again within 3" of a friendly <span class="tooltip01375" data-tooltip-content="#tooltip_content01375" data-tooltip-anchor="#tooltip_content01375"><span class="kwb">ALPHA</span> <span class="kwb">LEGION</span> <span class="kwb">INFANTRY</span></span> unit and more than 9" away from enemy models.|
CSM|Chaos Space Marines|Alpha Legion Warlord Traits|5|CULT LEADER (AURA)|This warlord directs the local cult personally.|When resolving an attack made with a weapon by a model in a friendly <span class="tooltip01839" data-tooltip-content="#tooltip_content01839" data-tooltip-anchor="#tooltip_content01839"><span class="kwb">ALPHA</span> <span class="kwb">LEGION</span> <span class="kwb">CHAOS</span> <span class="kwb">CULTIST</span></span> unit within 6" of this <span class="kwb">WARLORD</span>, on an unmodified <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a> of 6 the Armour Penetration characteristic of that weapon is improved by 1 for that attack (e.g. AP 0 becomes AP -1).|
CSM|Chaos Space Marines|Alpha Legion Warlord Traits|4|MASTER OF DIVERSION|A venerated tactician who makes use of feints and diversions in their battle plans.|At the start of the first battle round, before the first turn begins, select up to three other friendly <span class="kwb">ALPHA</span> <span class="kwb">LEGION</span> units on the battlefield. Remove these units from the battlefield and set them up again following the usual deployment rules for those units and the mission. If you redeploy a <span class="tooltip00941" data-tooltip-content="#tooltip_content00941" data-tooltip-anchor="#tooltip_content00941"><span class="kwb">TRANSPORT</span></span> model, all units <a href="/wh40k9ed/the-rules/core-rules/#Embark">embarked</a> inside it remain so when it is set up again.|
CSM|Chaos Space Marines|Alpha Legion Warlord Traits|3|HEADHUNTER|No target is safe in the sights of this warlord.|<ul><li>Each time you select a target for a weapon this <span class="kwb">WARLORD</span> is making an attack with, you can ignore the <a href="/wh40k9ed/the-rules/core-rules/#Look-out-Sir">Look Out, Sir</a> rule.</li><li>When resolving an attack made with a ranged weapon by this <span class="kwb">WARLORD</span>, an unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 6 inflicts 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> on the target in addition to any other damage.</li></ul>|
CSM|Chaos Space Marines|Alpha Legion Warlord Traits|2|CLANDESTINE|This warlord blends in with his surroundings effortlessly, an esteemed agent with infiltration experience.|When resolving an attack made against this <span class="kwb">WARLORD</span>, subtract 1 from the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
CSM|Chaos Space Marines|Alpha Legion Warlord Traits|1|I AM ALPHARIUS|The Alpha Legion are experts in the art of deception, and none more so than this warlord.|In addition to this Warlord Trait, this <span class="kwb">WARLORD</span> has one randomly generated <a href="/wh40k9ed/factions/chaos-space-marines/#Warlord-Traits">Chaos Space Marine Warlord Trait</a> from <i>Codex: Chaos Space Marines</i>. If this <span class="kwb">WARLORD</span> is destroyed, you can immediately select another <span class="tooltip01374" data-tooltip-content="#tooltip_content01374" data-tooltip-anchor="#tooltip_content01374"><span class="kwb">ALPHA</span> <span class="kwb">LEGION</span> <span class="kwb">CHARACTER</span></span> model from your army to take their place and generate a Warlord Trait for them (including this one). If the mission you are playing grants victory points for destroying the enemy <span class="kwb">WARLORD</span>, your opponent will only achieve that objective if all of the <span class="kwb">ALPHA</span> <span class="kwb">LEGION</span> <span class="kwb">CHARACTER</span> models from your army have been destroyed.|
CSM|Chaos Space Marines|Iron Warriors Warlord Traits|6|STOIC ADVANCE|This warlord advances with bitter resolve and, by his example, his followers do the same.|Friendly <span class="kwb">IRON</span> <span class="kwb">WARRIORS</span> units do not suffer the penalty for moving and firing <a href="/wh40k9ed/the-rules/core-rules/#HEAVY">Heavy weapons</a> whilst they are within 6" of this <span class="kwb">WARLORD</span>.|
