id|type|name|legend|is_other_wargear|faction_id|description|
000000018||Goldtoof Armour||false|ORK|This model has a 4+ <a href="/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable save</a>.|
000000019||Full Throttle||false|ORK|Each time this model Advances, do not make an <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advance roll</a>. Instead, until the end of the phase, add 6" to the Move characteristic of this model and roll one D6: on a 1, this model suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>.|
000000021||Drill Boss (Aura)||false|ORK|While a friendly <span class="tooltip00770" data-tooltip-content="#tooltip_content00770" data-tooltip-anchor="#tooltip_content00770"><span class="kwb">GOFF</span> <span class="kwb">STORMBOYZ</span></span> unit is within 6" of this model, each time a <a href="/wh40k9ed/the-rules/core-rules/#Morale-Tests">Morale test</a> is failed for that unit, until the end of the phase, halve the number of models that flee that unit due to failed <a href="/wh40k9ed/the-rules/core-rules/#Combat-Attrition-Tests">Combat Attrition tests</a> (rounding fractions down).|
000000022||Sneakiest Git||false|ORK|Each time an attack is allocated to this model while it is receiving the <a href="/wh40k9ed/the-rules/core-rules/#Terrain-and-Cover">benefits of cover</a>, add an additional 2 to any armour <a href="/wh40k9ed/the-rules/core-rules/#4.-Saving-Throw">saving throw</a> made against that attack.|
000000023||Kunnin’ Infiltrator||false|ORK|During deployment, when you set up this model, it can be set up anywhere on the battlefield that is more than 9" away from the enemy deployment zone and any enemy models.|
000000024||Red Skull Kommandos (Aura)||false|ORK|While a friendly <span class="tooltip00771" data-tooltip-content="#tooltip_content00771" data-tooltip-anchor="#tooltip_content00771"><span class="kwb">BLOOD</span> <span class="kwb">AXES</span> <span class="kwb">KOMMANDOS</span></span> unit is within 6" of this model, each time a model in that unit makes a melee attack, add 1 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000000025||Terrifying Killer (Aura)||false|ORK|While an enemy unit is within 6" of this model, subtract 2 from the Leadership characteristic of models in that unit.|
000000026||Mekaniak||false|ORK|At the end of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, this model can repair a single friendly <span class="tooltip00769" data-tooltip-content="#tooltip_content00769" data-tooltip-anchor="#tooltip_content00769"><span class="kwb2">&lt;<span class="kwb3">C</span>LAN&gt;</span> <span class="kwb">VEHICLE</span></span> model within 1". That model regains 1 lost wound. A model can only be repaired once per turn.|
000000027||Grot Orderly||true|ORK|Once per battle, if a 1 is rolled when using the bearer’s <span class="redfont">Sawbonez</span> ability you can re-roll the dice.<br><br><i>We recommend placing a Grot Orderly model next to the unit os a reminder, removing it once this ability has been used (a Grot Orderly does not count as a model for any rules purposes).</i>|
000000028||Dok’s Tools (Aura)||false|ORK|While a friendly <span class="tooltip00271" data-tooltip-content="#tooltip_content00271" data-tooltip-anchor="#tooltip_content00271"><span class="kwb2">&lt;<span class="kwb3">C</span>LAN&gt;</span> <span class="kwb">INFANTRY</span></span>, <span class="tooltip00772" data-tooltip-content="#tooltip_content00772" data-tooltip-anchor="#tooltip_content00772"><span class="kwb2">&lt;<span class="kwb3">C</span>LAN&gt;</span> <span class="kwb">BIKER</span></span> or <span class="tooltip00773" data-tooltip-content="#tooltip_content00773" data-tooltip-anchor="#tooltip_content00773"><span class="kwb2">&lt;<span class="kwb3">C</span>LAN&gt;</span> <span class="kwb">CAVALRY</span></span> unit is within 3" of this model, each time a model in that unit would lose a wound, roll one D6: on a 6, that wound is not lost.|
000000030||Dok’s Toolz (Aura)||false|ORK|While a friendly <span class="tooltip00280" data-tooltip-content="#tooltip_content00280" data-tooltip-anchor="#tooltip_content00280"><span class="kwb">ORKS</span> <span class="kwb">INFANTRY</span></span> or <span class="tooltip00774" data-tooltip-content="#tooltip_content00774" data-tooltip-anchor="#tooltip_content00774"><span class="kwb">ORKS</span> <span class="kwb">BIKER</span></span> unit is within 3" of this model, each time a model in that unit would lose a wound, roll one D6: on a 6, that wound is not lost.|
000000031||Cybork Body||false|ORK|Each time this model would lose a wound, roll one D6: on a 5+, that wound is not lost.|
000000032||One Scalpel Short of a Medpack||false|ORK|This model is <a href="/wh40k9ed/the-rules/core-rules/#1.-Charges">eligible to charge</a> even if it <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advanced</a> or <a href="/wh40k9ed/the-rules/core-rules/#Fall-Back">Fell Back</a> in the same turn. At the start of the <a href="/wh40k9ed/the-rules/core-rules/#CHARGE-PHASE">Charge phase</a>, if this model is eligible to charge you must declare a charge and you must select the closest enemy unit as one of the targets of that charge.|
000000035||Squig hound||true|ORK|The bearer gains the following ability: ‘<span class="redfont">Squig Hound (Aura)</span><b>:</b> While a friendly <span class="tooltip00490" data-tooltip-content="#tooltip_content00490" data-tooltip-anchor="#tooltip_content00490"><span class="kwb">GRETCHIN</span> <span class="kwb">INFANTRY</span></span> unit is within 3" of the bearer, models in that unit ignore modifiers to <a href="/wh40k9ed/the-rules/core-rules/#Combat-Attrition-Tests">Combat Attrition tests</a>.’|
000000036||Grot-lash||true|ORK|The bearer gains the following ability: ‘<span class="redfont">Grot Lash (Aura)</span><b>:</b> While a friendly <span class="tooltip00490" data-tooltip-content="#tooltip_content00490" data-tooltip-anchor="#tooltip_content00490"><span class="kwb">GRETCHIN</span> <span class="kwb">INFANTRY</span></span> unit is within 3" of any models equipped with a grot-lash, add 1" to the Move characteristic of models in that unit.’|
000000037||Mekaniak||false|ORK|At the end of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, a Spanner can repair a single friendly <span class="tooltip00769" data-tooltip-content="#tooltip_content00769" data-tooltip-anchor="#tooltip_content00769"><span class="kwb2">&lt;<span class="kwb3">C</span>LAN&gt;</span> <span class="kwb">VEHICLE</span></span> model within 1". That model regains 1 lost wound. A model can only be repaired once per turn.|
000000038||Pyromaniaks||false|ORK|If this unit destroys an enemy unit in the <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, it automatically passes <a href="/wh40k9ed/the-rules/core-rules/#Morale-Tests">Morale tests</a> until the start of your next turn.|
000000039||Tank Hunters||false|ORK|Each time a model with this ability makes an attack that targets a <span class="kwb">VEHICLE</span> unit, add 1 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000000040||Bomb squig||true|ORK|Once per turn, when a unit with a bomb squig is selected to shoot or fire <a href="/wh40k9ed/the-rules/core-rules/#Overwatch">Overwatch</a>, if it has any bomb squigs remaining, the unit can release one. When it does so, you can select one enemy unit (excluding <a href="/wh40k9ed/the-rules/core-rules/#Aircraft"><span class="kwb">AIRCRAFT</span></a>) that is within 12" of the unit with a bomb squig (when firing Overwatch this must be the <a href="/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit">charging</a> unit) and roll one D6, adding 1 to the result if that enemy unit is a <span class="kwb">VEHICLE</span>: on a 3+, that enemy unit suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>. The number of bomb squigs the unit is equipped with is then reduced by 1.<br><br><i>We recommend placing a Bomb Squig model next to the unit for each bomb squig it is equipped with as a reminder, removing one each time this ability is used (a Bomb Squig does not count as a model for any rules purposes).</i>|
000000043||Ammo runt||true|ORK|Once per battle, when the bearer makes a ranged attack, you can re-roll the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.<br><br><i>We recommend placing an Ammo Runt model next to the unit as a reminder, removing it once this ability has been used (an Ammo Runt does not count as a model for any rules purposes).</i>|
000000044||Waaagh! Banner||false|ORK|While a friendly <span class="tooltip00775" data-tooltip-content="#tooltip_content00775" data-tooltip-anchor="#tooltip_content00775"><span class="kwb2">&lt;<span class="kwb3">C</span>LAN&gt;</span> <span class="kwb">ORKS</span></span> unit is within 6" of this model, each time a model in that unit makes a melee attack, add 1 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000000046||Sneaky Gitz||false|ORK|Each time an attack is allocated to a model in this unit while it is receiving the <a href="/wh40k9ed/the-rules/core-rules/#Terrain-and-Cover">benefits of cover</a>, add an additional 2 to any armour <a href="/wh40k9ed/the-rules/core-rules/#4.-Saving-Throw">saving throw</a> made against that attack.|
000000047||Kunnin’ Infiltrators||false|ORK|During deployment, when you set up this unit it can be set up anywhere on the battlefield that is more than 9" away from the enemy deployment zone and any enemy models.|
000000048|Abilities|Ramshackle|Ork vehicles are often covered in additional metal plates, intimidating glyphs, errant grots, snacksquig pens and other non-essential parts. Significant portions of these makeshift constructions can be blasted off or destroyed without impairing the vehicle in the slightest.|false|ORK|Each time an attack is allocated to this model, unless that attack has a Strength characteristic of 8 or more, subtract 1 from the Damage characteristic of that attack (to a minimum of 1).|
000000050||Explodes||false|ORK|When this transport is destroyed, roll one D6 before any embarked models <a href="/wh40k9ed/the-rules/core-rules/#Disembark">disembark</a> and before removing it from play. On a 6, it explodes, and each unit within 6" suffers D6 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|
000000051||Full Throttle||false|ORK|Each time this unit Advances, do not make an <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advance roll</a>. Instead, until the end of the phase, add 6" to the Move characteristic of model’s in this unit and roll one D6: on a 4+, this unit suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>.|
000000052||Turbo-boost||false|ORK|When this unit <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advances</a>, add 6" to its Move characteristic for that <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a> instead of rolling a dice.|
000000053||Scoutin’ Ahead||false|ORK|During deployment, you can set up this unit behind enemy lines instead of placing it on the battlefield. At the end of any of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phases</a>, they can swoop around to ambush the foe – set them up anywhere on the battlefield that is more than 9" away from any enemy models and within 14" of a battlefield edge.|
000000054||Bigbomm||false|ORK|Once per battle, at the end of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, this model can drop its bigbomm on one enemy unit it moved over in that phase. To a maximum of five D6, roll one D6 for each model in that unit. For each roll of 5+ that unit suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>.|
000000055||Airborne||false|AE|You cannot <a href="/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit">declare a charge</a> with this model, and it can only be chosen as a target of a charge if the unit making the charge can <a href="/wh40k9ed/the-rules/core-rules/#Flying"><span class="kwb">FLY</span></a>. You can only fight with this model if it is within <a href="/wh40k9ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of any enemy units that can <span class="kwb">FLY</span>, and this model can only make melee attacks against units that can <span class="kwb">FLY</span>. Enemy units can only make melee attacks against this model if they can <span class="kwb">FLY</span>.|
000000055||Airborne||false|ORK|You cannot <a href="/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit">declare a charge</a> with this model, and it can only be chosen as a target of a charge if the unit making the charge can <a href="/wh40k9ed/the-rules/core-rules/#Flying"><span class="kwb">FLY</span></a>. You can only fight with this model if it is within <a href="/wh40k9ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of any enemy units that can <span class="kwb">FLY</span>, and this model can only make melee attacks against units that can <span class="kwb">FLY</span>. Enemy units can only make melee attacks against this model if they can <span class="kwb">FLY</span>.|
000000056||Hard to Hit||false|AE|Each time a ranged attack is made against this model, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000000056||Hard to Hit||false|ORK|Each time a ranged attack is made against this model, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000000057||Supersonic||false|ORK|Each time this model makes a <a href="/wh40k9ed/the-rules/core-rules/#Normal-Move">Normal Move</a>, <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advances</a> or <a href="/wh40k9ed/the-rules/core-rules/#Fall-Back">Falls Back</a>, first pivot it on the spot up to 90° (this does not contribute to how far the model moves), then move the model straight forwards. It cannot pivot again after the initial pivot.|
000000060||Burna bombs||true|ORK|Once per turn, if the bearer has any burna bombs remaining, it can drop one of them. In your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, after the bearer makes a <a href="/wh40k9ed/the-rules/core-rules/#Normal-Move">Normal Move</a> or <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advances</a>, you can select one point on the battlefield the bearer moved across this phase. Roll one D6 for each model within 6" of that point, subtracting 1 if that model is a <a href="/wh40k9ed/the-rules/core-rules/#Characters"><span class="kwb">CHARACTER</span></a> (excluding <span class="kwb">VEHICLE</span> or <span class="kwb">MONSTER</span> models): on a 5+, that model’s unit suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>. Each burna bomb can only be dropped once per battle.|
000000062||Grot Gunner||false|ORK|Each time this model makes an attack with a twin big shoota, add 1 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000000063||Boom bomb||true|ORK|Once per turn, if the bearer has any boom bombs remaining, it can drop one of them. In your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, after the bearer makes a <a href="/wh40k9ed/the-rules/core-rules/#Normal-Move">Normal Move</a> or <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advances</a>, you can select one point on the battlefield the bearer moved across this phase. Roll one D6 for each unit within 6" of that point, subtracting 1 if that unit is a <a href="/wh40k9ed/the-rules/core-rules/#Characters"><span class="kwb">CHARACTER</span></a> (excluding <span class="kwb">VEHICLE</span> or <span class="kwb">MONSTER</span> units): on a 4+, that unit suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>. On a 6, that unit suffers D6 mortal wounds instead. Each boom bomb can only be dropped once per battle.|
000000064||Grot Gunner||false|ORK|Each time this model makes an attack with a big shoota, add 1 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000000066||Outriders||false|ORK|During deployment, you can set up this unit on the army’s flank instead of setting it up on the battlefield. If you do, at the end of one of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phases</a> you can set up this unit anywhere on the battlefield that is more than 9" away from any enemy models and wholly within 6" of any battlefield edge.|
000000069||Grot Krew||false|ORK|Each Big Gun and its grot krew are treated as a single model for all rules purposes. The krew must remain within 1" of their Big Gun and cannot be targeted or attacked separately. The range and visibility of all attacks made by a Big Gun are measured from the Big Gun, not the krew.|
000000071||Big Gunz||false|ORK|The first time this unit is set up on the battlefield, all of its Big Gunz must be placed within 6" of at least one other Big Gun, and with each grot krew within 1" of their Big Gun. From that point onwards, each Big Gun operates independently and is treated as a separate unit for all rules purposes.|
000000074||’Ard case||true|ORK|Add 1 to this model’s Toughness characteristic. This model cannot use the <span class="redfont">Open Topped</span> ability.|
000000077||Explodes||false|ORK|When this model is destroyed, roll one D6. On a 6 it explodes, and each unit within 3" suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|
000000078||Explodes||false|ORK|Each time a model in this unit is destroyed, roll one D6 before removing it from play. On a 6 it explodes, and each unit within 3" suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>.|
000000079||Scrag ’Em||false|ORK|While this unit contains 3 or more models, add 1 to the Attacks characteristic of models in this unit.|
000000080||Explodes||false|ORK|When this transport is destroyed, roll one D6 before any embarked models <a href="/wh40k9ed/the-rules/core-rules/#Disembark">disembark</a> and before removing it from play. On a 6 it explodes, and each unit within 2D6" suffers D6 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|
000000081||Kustom force field||true|ORK|(Aura) While a friendly <span class="kwb">ORKS</span> unit is within 6" of the bearer, it has a 6+ <a href="/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable save</a>. The range of this <a href="/wh40k9ed/the-rules/core-rules/#Aura-Abilities">aura ability</a> can never be increased, unless specifically stated otherwise.|
000000083||Explodes||false|ORK|When this transport is destroyed, roll one D6 before any embarked models <a href="/wh40k9ed/the-rules/core-rules/#Disembark">disembark</a> and before removing it from play. On a 6 it explodes, and each unit within 2D6" suffers D6 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|
000000084||Big ’n’ Stompy||false|ORK|This model is eligible to <a href="/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit">declare a charge</a> in a turn in which it <a href="/wh40k9ed/the-rules/core-rules/#Fall-Back">Fell Back</a>. Each time this model makes a <a href="/wh40k9ed/the-rules/core-rules/#Normal-Move">Normal Move</a>, <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advances</a> or Falls Back, it can be moved across other models (excluding <span class="kwb">MONSTER</span> and <span class="kwb">VEHICLE</span> models) as if they were not there, and when it does so it can be moved within <a href="/wh40k9ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of such models, but cannot finish its move within Engagement Range of any of them.|
000000085||Ammo Runt||true|ORK|Once per battle, when the bearer makes a ranged attack, you can re-roll the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.<br><br><i>We recommend placing an Ammo Runt model next to the unit as a reminder, removing it once this ability has been used (an Ammo Runt does not count as a model for any rules purposes).</i>|
000000087||Explodes||false|ORK|When this transport is destroyed, roll one D6 before any embarked models <a href="/wh40k9ed/the-rules/core-rules/#Disembark">disembark</a> and before removing it from play. On a 6 it explodes, and each unit within 3D6" suffers D6 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|
000000090||Waaagh! Effigy (Aura)||false|ORK|While a friendly <span class="kwb">ORKS</span> unit is within 6" of this model, each time a <a href="/wh40k9ed/the-rules/core-rules/#Morale-Tests">Morale test</a> is taken for that unit, you can re-roll the result.|
000000092||Da Beast||false|ORK|When this model Advances, do not make an <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advance roll</a>. Instead, until the end of the phase, add 6" to the Move characteristic of this model.|
000000094||Nitnuckle and Lunk||false|ORK|Once per turn, when Mek Boss Buzzgob uses the <span class="redfont">Mekaniak Boss</span> ability to repair a <span class="tooltip00776" data-tooltip-content="#tooltip_content00776" data-tooltip-anchor="#tooltip_content00776"><span class="kwb">GOFF</span> <span class="kwb">VEHICLE</span></span> model, you can choose for his grot underlings to help. If you do so, that <span class="kwb">GOFF</span> <span class="kwb">VEHICLE</span> model can regain 1 additional lost wound. You can only use this ability twice per battle.<br><br><i>We recommend placing two Grot Oiler models next to this Mek Boss Buzzgob model as a reminder, removing one each time this ability has been used (a Grot Oiler model does not count as a model for any rules purposes).</i>|
000000100||Explodes||false|ORK|When this model is destroyed, roll one D6 before removing it from play. On a 6 it explodes, and each unit within 6" suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|
000000101||Howdah||false|ORK|In your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, units embarked on this model can be selected to shoot. Measure the range and draw line of sight from any point on this model. When shooting with units embarked on this model, they do not count as being within <a href="/wh40k9ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of enemy units, and if this model made a <a href="/wh40k9ed/the-rules/core-rules/#Normal-Move">Normal Move</a> or <a href="/wh40k9ed/the-rules/core-rules/#Fall-Back">Fell Back</a>, they count as having <a href="/wh40k9ed/the-rules/core-rules/#Remain-Stationary">Remained Stationary</a>. Any other restrictions or modifiers that apply to this model also apply to models embarked upon it; for example, if this model <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advanced</a>, models embarked upon it also count as having Advanced.|
000000102||Stampede||false|ORK|Each time this model finishes a <a href="/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit">charge move</a>, select one enemy unit within <a href="/wh40k9ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of it and roll one D6: on a 2+, that unit suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|
000000107||Explodes||false|ORK|When this model is destroyed, roll one D6 before removing it from play. On a 6 it explodes, and each unit within 6" suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|
000000109||Explodes||false|ORK|When this model is destroyed, roll one D6 before removing it from play. On a 6 it explodes, and each unit within 6" suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|
000000113||Explodes||false|ORK|When this transport is destroyed, roll one D6 before any embarked models <a href="/wh40k9ed/the-rules/core-rules/#Disembark">disembark</a> and before removing it from play. Ona 6 it explodes, and each unit within 6" suffers D6 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|
000000120||Bigbomm||false|ORK|Once per battle for each bigbomm that this model is equipped with it can drop a bomm. If it does, in your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, after this model has made a <a href="/wh40k9ed/the-rules/core-rules/#Normal-Move">Normal Move</a> or <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advanced</a>, you can select one enemy unit this model moved across as part of that move. If you do, roll one D6 for each model in that enemy unit (up to a maximum of five D6). That enemy unit suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> for each result of 5+.|
000000129|Abilities|And They Shall Know No Fear|Space Marines stand unafraid before the terrors of the galaxy.|false|SM|Each time a <a href="/wh40k9ed/the-rules/core-rules/#Combat-Attrition-Tests">Combat Attrition test</a> is taken for this unit, ignore any or all modifiers.|
000000130||Rites of Battle||false|SM|Re-roll <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 for attacks made by models in friendly <a href="/wh40k9ed/factions/space-marines/#The-CHAPTER-Keyword">&lt;CHAPTER&gt;</a> units whilst their unit is within 6" of this model.|
000000131||Iron Halo||false|SM|This model has a 4+ <a href="/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable save</a>.|
000000132||Storm shield|<span class="kwb">CHARACTER</span>/other model|true|SM|The bearer has a 4+ <a href="/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable save</a>. In addition, add 1 to armour <a href="/wh40k9ed/the-rules/core-rules/#4.-Saving-Throw">saving throws</a> made for the bearer.|
000000134||Teleport Strike||false|SM|During deployment, you can set up this model in a teleportarium chamber instead of setting it up on the battlefield. If you do, at the end of one of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phases</a> you can set up this model anywhere on the battlefield that is more than 9" away from any enemy models.|
000000136||Turbo-boost||false|SM|Each time this model <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advances</a>, do not make an Advance roll. Instead, until the end of the phase, add 6" to the Move characteristic of this model.|
000000137||Psychic Hood||false|SM|Each time a <a href="/wh40k9ed/the-rules/core-rules/#Deny-the-Witch">Deny the Witch test</a> is taken for this model, if the unit attempting to <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifest</a> the psychic power is within 12" of this model, add 1 to that Deny the Witch test.|
