wargear_id|line|name|Range|type|S|AP|D|abilities|
000000029|1|Skorcha missile racks|36"|Assault 2D6|6|-2|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. Each time an attack is made with this weapon, the target does not receive the <a href="/wh40k9ed/the-rules/core-rules/#Terrain-and-Cover">benefits of cover</a> against that attack.|
000000030|1|Slugga|12"|Pistol 1|4|0|1||
000000031|1|Smasha gun|48"|Heavy D3|8|-4|D6|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000032|1|Snazzgun|24"|Heavy 3|6|-2|2||
000000034|1|Stikkbombz|8"|Grenade D6|3|0|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000035|1|Stikkbomb flinga|12"|Assault 2D6|3|0|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000036|1|Supa-shoota|36"|Dakka 6/4|6|-1|1||
000000037|1|Supa-gatler|48"|Dakka 24/16|7|-2|1||
000000038|1|Supa-rokkits|100"|Heavy D6|8|-3|D6|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000039|1|Tankbusta bomb|6"|Grenade D3|8|-2|D6|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000040|1|Tellyport blasta|12"|Assault D6|8|-2|3|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000041|1|Tellyport mega-blasta|24"|Assault D6|9|-2|D3+3|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000042|1|Traktor kannon|48"|Heavy 1|8|-2|D3+3|Each time an attack is made with this weapon:<br><ul><li>Against a <span class="kwb">VEHICLE</span> unit that can <a href="/wh40k9ed/the-rules/core-rules/#Flying"><span class="kwb">FLY</span></a>, that attack has a Damage characteristic of D6+3.</li><li>Against an <a href="/wh40k9ed/the-rules/core-rules/#Aircraft"><span class="kwb">AIRCRAFT</span></a> unit, add 2 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.</li><li>Against a non-<span class="kwb">AIRCRAFT</span> unit, add 1 to that attack’s hit roll.</li></ul>|
000000043|1|Twin big shoota|36"|Dakka 10/6|5|0|1||
000000044|1|Wazbom mega-kannon|36"|Heavy D3|10|-3|D6|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. If any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for attacks with this weapon, the bearer suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> after shooting with this weapon.|
000000045|1|Zzap gun|36"|Heavy 1|*|-3|3|Each time this weapon is selected to shoot with, roll 2D6 to determine the Strength of all its attacks: on an 11+, each successful hit inflicts D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a> on the target in addition to any normal damage, and the bearer suffers 1 mortal wound.|
000000046|1|Big choppa|Melee|Melee|+2|-1|2||
000000047|1|Burna (melee)|Melee|Melee|User|-2|1||
000000048|1|Choppa|Melee|Melee|User|-1|1|Each time the bearer fights, it makes 1 additional attack with this weapon.|
000000049|1|Deff rolla|Melee|Melee|+1|-2|2|Each time an attack is made with this weapon, treat the bearer as having a Weapon Skill characteristic of 2+.|
000000050|1|Dread klaw|Melee|Melee|x2|-3|3|Each time the bearer fights, it makes 1 additional attack with this weapon.|
000000051|1|Grabba stikk|Melee|Melee|+1|0|1|Each time the bearer fights, it makes 1 additional attack with this weapon.|
000000052|1|Grabbin’ klaw|Melee|Melee|User|-3|2|Each time the bearer fights, it makes 1 additional attack with this weapon and no more than 1 attack can be made with this weapon.|
000000053|1|Grot-prod|Melee|Melee|+2|-1|1||
000000054|1|Kan klaw|Melee|Melee|+3|-3|3||
000000055|1|Killsaw|Melee|Melee|x2|-4|D3|Each time an attack is made with this weapon, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>. Each time the bearer fights, if it is equipped with 2 killsaws, it makes 1 additional attack with this weapon.|
000000056|1|Crush|Melee|Melee|x2|-4|6||
000000056|2|Smash|Melee|Melee|User|-2|2|Each time an attack is made with this weapon profile, make 3 <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> instead of 1.|
000000058|1|Smash|Melee|Melee|x2|-5|9||
000000058|2|Slash|Melee|Melee|User|-2|3|Each time an attack is made with this weapon profile, make 3 <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> instead of 1.|
000000059|1|Mork’s Teeth|Melee|Melee|User|-2|2||
000000060|1|Power klaw|Melee|Melee|x2|-3|2|Each time an attack is made with this weapon, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000000061|1|Power stabba|Melee|Melee|User|-2|1||
000000062|1|Spinnin’ blades|Melee|Melee|+1|-1|1|Each time an attack is made with this weapon, make 3 <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> instead of 1.|
000000063|1|Tankhammer|Melee|Melee|-|-|-|Each time the bearer fights, it can only make 1 attack with this weapon. If that attack hits, the target unit suffers D6 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a> and the bearer is destroyed.|
000000064|1|’Urty syringe|Melee|Melee|2|0|1|Each time the bearer fights, it makes 1 additional attack with this weapon. Each time an attack is made with this weapon, unless the target is a <span class="kwb">VEHICLE</span> or <span class="kwb">TITANIC</span> unit, that attack always wounds on an unmodified <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a> of 2+.|
000000065|1|Da Vulcha’s Klaws|Melee|Melee|+2|-3|2||
000000066|1|Waaagh! banner|Melee|Melee|+2|0|2||
000000067|1|Weirdboy staff|Melee|Melee|+3|-1|D3||
000000068|1|Wreckin’ ball|Melee|Melee|+2|-1|2|Each time the bearer fights, it makes 1 additional attack with this weapon and no more than 1 attack can be made with this weapon.|
000000069|1|Attack squig|Melee|Melee|4|-1|1|Each time the bearer fights, it makes 2 additional attacks with this weapon and no more than 2 attacks can be made with this weapon.|
000000070|1|Killkannon|24"|Heavy D6|8|-2|2|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000072|1|Da Pain Klaw|Melee|Melee|x2|-4|D3|Each time an attack is made with this weapon against an <span class="kwb">INFANTRY</span> or <span class="kwb">MONSTER</span> unit, an unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 6 inflicts 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> on the target in addition to the normal damage.|
000000073|1|Mek arms|Melee|Melee|x2|0|2|Each time the bearer fights, it makes 2 additional attacks with this weapon and no more than 2 attacks can be made with this weapon.|
000000075|1|Gorin’ horns|Melee|Melee|User|-3|D6||
000000078|1|Rattler kannon|24"|Heavy D6|6|-2|1||
000000081|1|Lifta-droppa|48"|Heavy D6|-|-|-|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. Each time an attack is made with this weapon, that attack automatically hits the target. Each time this weapon hits, roll 2D6 instead of <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">rolling to wound</a>: if the result is equal to or greater than the target’s highest Strength characteristic, the target suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>.|
000000082|1|Supa-kannon|60"|Heavy 2D6|8|-2|3|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000087|1|Giga shoota|48"|Heavy 30|6|-2|1|Each time an attack is made with this weapon against a target within half range, add 1 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000000088|1|Bursta kannon|36"|Heavy 3D6|10|-3|3|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. Each time an attack is made with this weapon against a target within half range, add 1 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000000089|1|Gaze of Mork|18"|Heavy 3|12|-4|6||
000000090|1|Belly gun|36"|Heavy 3D6|8|-2|2|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000093|1|Huge tusks|Melee|Melee|User|-4|D3+3||
000000094|1|Assault bolter|18"|Assault 3|5|-1|1||
000000095|1|Assault cannon|24"|Heavy 6|6|-1|1||
000000096|1|Frag grenade|30"|Assault D6|3|0|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000096|2|Krak grenade|30"|Assault 1|6|-1|D3||
000000097|1|Astartes shotgun|18"|Assault 2|4|0|1||
000000098|1|Bolt pistol|12"|Pistol 1|4|0|1||
000000099|1|Bolt rifle|30"|Rapid Fire 1|4|-1|1||
000000100|1|Boltgun|24"|Rapid Fire 1|4|0|1||
000000101|1|Boltstorm gauntlet (shooting)|18"|Pistol 3|4|-1|1||
000000102|1|Centurion missile launcher|36"|Assault D3|8|-2|D3|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000103|1|Cerberus launcher|18"|Heavy D6|4|0|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000104|1|Combi-bolter|24"|Rapid Fire 2|4|0|1||
000000105|1|Boltgun|24"|Rapid Fire 1|4|0|1||
000000105|2|Flamer|12"|Assault D6|4|0|1|Each time an attack is made with this weapon profile, that attack automatically hits the target.|
000000106|1|Boltgun|24"|Rapid Fire 1|4|0|1||
000000106|2|Grav-gun|18"|Rapid Fire 1|5|-3|1|Each time an attack made with this weapon profile is allocated to a model with a Save characteristic of 3+ or better, that attack has a Damage characteristic of 2.|
000000107|1|Boltgun|24"|Rapid Fire 1|4|0|1||
000000107|2|Meltagun|12"|Assault 1|8|-4|D6|Each time an attack made with this weapon profile targets a unit within half range, that attack has a Damage characteristic of D6+2.|
000000108|1|Boltgun|24"|Rapid Fire 1|4|0|1||
000000108|2|Plasma gun (standard)|24"|Rapid Fire 1|7|-3|1||
000000108|3|Plasma gun (supercharge)|24"|Rapid Fire 1|8|-3|2|If any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.|
000000109|1|Conversion beamer|42"|Heavy D3|6|0|1|When resolving an attack made with this weapon against a unit that is not within half range, this weapon has a Strength characteristic of 8, an Armour Penetration characteristic of -1, and a Damage characteristic of 2 for that attack.|
000000110|1|Frag missile|36"|Heavy 2D6|4|0|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000110|2|Krak missile|36"|Heavy 2|8|-2|D6||
000000111|1|Deathwind launcher|12"|Heavy D6|5|0|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000112|1|Demolisher cannon|24"|Heavy D6|10|-3|D6|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000113|1|Boltgun|24"|Rapid Fire 1|4|0|1||
000000113|2|Disintegration gun|18"|Rapid Fire 1|5|-3|D6||
000000114|1|Disintegration pistol|9"|Pistol 1|5|-3|D6||
000000115|1|Flamer|12"|Assault D6|4|0|1|Each time an attack is made with this weapon, that attack automatically hits the target.|
000000116|1|Flamestorm cannon|12"|Heavy D6|6|-2|2|Each time an attack is made with this weapon, that attack automatically hits the target.|
000000117|1|Frag grenades|6"|Grenade D6|3|0|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000118|1|Grav-pistol|12"|Pistol 1|5|-3|1|Each time an attack made with this weapon is allocated to a model with a Save characteristic of 3+ or better, that attack has a Damage characteristic of 2.|
000000119|1|Grav-cannon and grav-amp|24"|Heavy 4|5|-3|1|When resolving an attack made with this weapon against a unit with a Save characteristic of 3+ or better, this weapon has a Damage characteristic of D3 for that attack.|
000000120|1|Grav-gun|18"|Rapid Fire 1|5|-3|1|Each time an attack made with this weapon is allocated to a model with a Save characteristic of 3+ or better, that attack has a Damage characteristic of 2.|
000000121|1|Grenade harness|12"|Assault D6|4|-1|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000122|1|Heavy bolter|36"|Heavy 3|5|-1|2||
000000123|1|Heavy flamer|12"|Heavy D6|5|-1|1|Each time an attack is made with this weapon, that attack automatically hits the target.|
000000124|1|Standard|36"|Heavy D3|7|-3|2|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000124|2|Supercharge|36"|Heavy D3|8|-3|3|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. Each time an unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 1 is made for an attack with this weapon profile, the bearer suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> after shooting with this weapon.|
000000125|1|Hunter-killer missile|48"|Heavy 1|10|-2|D6|The bearer can only shoot with each hunter-killer missile it is equipped with once per battle.|
000000126|1|Hurricane bolter|24"|Rapid Fire 6|4|0|1||
000000127|1|Icarus stormcannon|48"|Heavy 3|7|-1|2|Each time an attack is made with this weapon against an <a href="/wh40k9ed/the-rules/core-rules/#Aircraft"><span class="kwb">AIRCRAFT</span></a> unit, make 2 <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> instead of 1 and add 1 to both those hit rolls.|
000000128|1|Kheres-pattern assault cannon|24"|Heavy 6|7|-1|1||
000000129|1|Krak grenades|6"|Grenade 1|6|-1|D3||
000000130|1|Las-talon|24"|Heavy 2|9|-3|D6||
000000131|1|Lascannon|48"|Heavy 1|9|-3|D6||
000000132|1|Master-crafted auto bolt rifle|24"|Assault 3|4|0|2||
000000133|1|Master-crafted boltgun|24"|Rapid Fire 1|4|-1|2||
000000135|1|Meltagun|12"|Assault 1|8|-4|D6|Each time an attack made with this weapon targets a unit within half range, that attack has a Damage characteristic of D6+2.|
000000136|1|Frag missile|48"|Heavy D6|4|0|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000136|2|Krak missile|48"|Heavy 1|8|-2|D6||
000000137|1|Multi-melta|24"|Heavy 2|8|-4|D6|Each time an attack made with this weapon targets a unit within half range, that attack has a Damage characteristic of D6+2.|
000000139|1|Standard|18"|Assault 2|7|-3|1||
000000139|2|Supercharge|18"|Assault 2|8|-3|2|If any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.|
000000140|1|Standard|36"|Heavy D3|7|-3|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000140|2|Supercharge|36"|Heavy D3|8|-3|2|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. If any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.|
000000141|1|Standard|12"|Assault 1|7|-3|1||
000000141|2|Supercharge|12"|Assault 1|8|-3|2|If any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.|
000000142|1|Standard|24"|Rapid Fire 1|7|-3|1||
000000142|2|Supercharge|24"|Rapid Fire 1|8|-3|2|If any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.|
000000143|1|Standard|30"|Rapid Fire 1|7|-4|1||
000000143|2|Supercharge|30"|Rapid Fire 1|8|-4|2|If any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.|
000000144|1|Standard|12"|Pistol 1|7|-3|1||
000000144|2|Supercharge|12"|Pistol 1|8|-3|2|If any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.|
000000145|1|Predator autocannon|48"|Heavy 2D3|7|-1|3||
000000146|1|Reaper autocannon|36"|Heavy 4|7|-2|1||
000000147|1|Skyhammer missile launcher|60"|Heavy 3|7|-1|D3|Each time an attack is made with this weapon against an <a href="/wh40k9ed/the-rules/core-rules/#Aircraft"><span class="kwb">AIRCRAFT</span></a> unit, add 1 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000000148|1|Skyspear missile launcher|60"|Heavy 1|9|-3|D6|Each time an attack is made with this weapon against an <a href="/wh40k9ed/the-rules/core-rules/#Aircraft"><span class="kwb">AIRCRAFT</span></a> unit, add 2 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>. Each time an attack made with this weapon is allocated to an <span class="kwb">AIRCRAFT</span> model, that attack has a Damage characteristic of D6+6.|
000000149|1|Scout sniper rifle|36"|Heavy 1|4|-1|1|Each time you select a target for this weapon, you can ignore the <a href="/wh40k9ed/the-rules/core-rules/#Look-out-Sir">Look Out, Sir</a> rule. Each time an attack is made with this weapon, an unmodified <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a> of 6 inflicts 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> on the target in addition to any normal damage.|
000000150|1|Special issue boltgun|30"|Rapid Fire 1|4|-2|1||
000000151|1|Storm bolter|24"|Rapid Fire 2|4|0|1||
000000152|1|Stormstrike missile launcher|72"|Heavy 1|8|-3|3||
000000153|1|Thunderfire cannon|60"|Heavy 4D3|4|0|1|<a href="/wh40k9ed/the-rules/matched-play/#Indirect-Fire-Weapons">Indirect Fire</a>. <a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. This weapon can target units that are not visible to the bearer.|
000000154|1|Twin assault cannon|24"|Heavy 12|6|-1|1||
000000155|1|Twin autocannon|48"|Heavy 4|7|-1|2||
000000156|1|Twin boltgun|24"|Rapid Fire 2|4|0|1||
000000157|1|Twin heavy bolter|36"|Heavy 6|5|-1|2||
000000158|1|Twin heavy flamer|12"|Heavy 2D6|5|-1|1|Each time an attack is made with this weapon, that attack automatically hits the target.|
000000159|1|Standard|36"|Heavy 2D3|7|-3|2|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000159|2|Supercharge|36"|Heavy 2D3|8|-3|3|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>.  Each time an unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 1 is made for an attack with this weapon profile, the bearer suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> after shooting with this weapon.|
000000160|1|Twin lascannon|48"|Heavy 2|9|-3|D6||
000000161|1|Twin multi-melta|24"|Heavy 4|8|-4|D6|Each time an attack made with this weapon targets a unit within half range, that attack has a Damage characteristic of D6+2.|
000000162|1|Standard|24"|Rapid Fire 2|7|-3|1||
000000162|2|Supercharge|24"|Rapid Fire 2|8|-3|2|On a <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 1, the bearer is slain after all of this weapon’s shots have been resolved.|
000000163|1|Frag missile|48"|Heavy 2D6|4|0|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000163|2|Krak missile|48"|Heavy 2|8|-2|D6||
000000164|1|Volkite charger|20"|Heavy 2|5|0|2|Each time an attack is made with this weapon, an unmodified <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a> of 6 inflicts 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> on the target in addition to any normal damage.|
000000165|1|Whirlwind castellan launcher|72"|Heavy 2D6|6|0|1|<a href="/wh40k9ed/the-rules/matched-play/#Indirect-Fire-Weapons">Indirect Fire</a>. <a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. This weapon can target units that are not visible to the bearer.|
000000166|1|Whirlwind vengeance launcher|72"|Heavy 2D3|7|-1|2|<a href="/wh40k9ed/the-rules/matched-play/#Indirect-Fire-Weapons">Indirect Fire</a>. <a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. This weapon can target units that are not visible to the bearer.|
000000167|1|Wrist-mounted grenade launcher|12"|Assault D3|4|-1|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000168|1|Boltstorm gauntlet (melee)|Melee|Melee|x2|-3|2|Each time an attack is made with this weapon, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000000169|1|Chainfist|Melee|Melee|x2|-4|D3|Each time an attack is made with this weapon, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>, and if that attack is allocated to a <span class="kwb">VEHICLE</span> model, that attack has a Damage characteristic of 3.|
000000170|1|Chainsword|Melee|Melee|User|0|1|When the bearer fights, it makes 1 additional attack with this weapon.|
000000171|1|Champion’s blade|Melee|Melee|User|-2|1|When the bearer fights, it makes 1 additional attack with this weapon.|
000000172|1|Combat knife|Melee|Melee|User|0|1|Each time the bearer fights, it makes 1 additional attack with this weapon.|
000000173|1|Crozius arcanum|Melee|Melee|+2|-1|2||
000000175|1|Dreadnought combat weapon|Melee|Melee|x2|-3|3||
000000176|1|Eviscerator|Melee|Melee|+3|-4|2|Each time an attack is made with this weapon, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000000177|1|Force axe|Melee|Melee|+2|-2|D3||
000000178|1|Force stave|Melee|Melee|+3|-1|D3||
000000179|1|Force sword|Melee|Melee|+1|-3|D3||
000000180|1|Lightning claw|Melee|Melee|User|-2|1|Each time the bearer fights, it makes 1 additional attack with this weapon. Each time an attack is made with this weapon, you can re-roll the <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>.|
000000181|1|Master-crafted power sword|Melee|Melee|+1|-3|2||
000000182|1|Power axe|Melee|Melee|+2|-2|1||
000000183|1|Power fist|Melee|Melee|x2|-3|2|Each time an attack is made with this weapon, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|
000000184|1|Power lance|Melee|Melee|+2|-1|1||
000000185|1|Power maul|Melee|Melee|+3|-1|1||
000000186|1|Power sword|Melee|Melee|+1|-3|1||
000000187|1|Relic blade|Melee|Melee|+3|-3|2||
