id|name|link|is_subfaction|parent_id|
CHIF|Imperial Fists|https://wahapedia.ru/wh40k9ed/factions/space-marines/imperial-fists|true|SM|
CHIH|Iron Hands|https://wahapedia.ru/wh40k9ed/factions/space-marines/iron-hands|true|SM|
CHRG|Raven Guard|https://wahapedia.ru/wh40k9ed/factions/space-marines/raven-guard|true|SM|
CHSA|Salamanders|https://wahapedia.ru/wh40k9ed/factions/space-marines/salamanders|true|SM|
CHSW|Space Wolves|https://wahapedia.ru/wh40k9ed/factions/space-marines/space-wolves|true|SM|
CHUL|Ultramarines|https://wahapedia.ru/wh40k9ed/factions/space-marines/ultramarines|true|SM|
CHWS|White Scars|https://wahapedia.ru/wh40k9ed/factions/space-marines/white-scars|true|SM|
CHAC|Astral Claws|https://wahapedia.ru/wh40k9ed/factions/space-marines/astral-claws|true|SM|
CHBR|Blood Ravens|https://wahapedia.ru/wh40k9ed/factions/space-marines/blood-ravens|true|SM|
CHCA|Carcharodons|https://wahapedia.ru/wh40k9ed/factions/space-marines/carcharodons|true|SM|
CHCF|Crimson Fists|https://wahapedia.ru/wh40k9ed/factions/space-marines/crimson-fists|true|SM|
CHEX|Executioners|https://wahapedia.ru/wh40k9ed/factions/space-marines/executioners|true|SM|
CHES|Exorcists|https://wahapedia.ru/wh40k9ed/factions/space-marines/exorcists|true|SM|
CHFA|Fire Angels|https://wahapedia.ru/wh40k9ed/factions/space-marines/fire-angels|true|SM|
CHFH|Fire Hawks|https://wahapedia.ru/wh40k9ed/factions/space-marines/fire-hawks|true|SM|
CHFT|Flesh Tearers|https://wahapedia.ru/wh40k9ed/factions/space-marines/flesh-tearers|true|SM|
CHHG|Howling Griffons|https://wahapedia.ru/wh40k9ed/factions/space-marines/howling-griffons|true|SM|
CHLA|Lamenters|https://wahapedia.ru/wh40k9ed/factions/space-marines/lamenters|true|SM|
CHMW|Mantis Warriors|https://wahapedia.ru/wh40k9ed/factions/space-marines/mantis-warriors|true|SM|
CHME|Marines Errant|https://wahapedia.ru/wh40k9ed/factions/space-marines/marines-errant|true|SM|
CHMI|Minotaurs|https://wahapedia.ru/wh40k9ed/factions/space-marines/minotaurs|true|SM|
CHNO|Novamarines|https://wahapedia.ru/wh40k9ed/factions/space-marines/novamarines|true|SM|
CHRA|Raptors|https://wahapedia.ru/wh40k9ed/factions/space-marines/raptors|true|SM|
CHRS|Red Scorpions|https://wahapedia.ru/wh40k9ed/factions/space-marines/red-scorpions|true|SM|
CHSO|Sons of Medusa|https://wahapedia.ru/wh40k9ed/factions/space-marines/sons-of-medusa|true|SM|
CHSP|Star Phantoms|https://wahapedia.ru/wh40k9ed/factions/space-marines/star-phantoms|true|SM|
CHTC|Tiger Claws|https://wahapedia.ru/wh40k9ed/factions/space-marines/tiger-claws|true|SM|
QT|Chaos Knights|https://wahapedia.ru/wh40k9ed/factions/chaos-knights|false||
HTL|Heretic Titan Legions|https://wahapedia.ru/wh40k9ed/factions/heretic-titan-legions|false||
CD|Chaos Daemons|https://wahapedia.ru/wh40k9ed/factions/chaos-daemons|false||
ALKH|Khorne|https://wahapedia.ru/wh40k9ed/factions/chaos-daemons/khorne|true|CD|
ALNU|Nurgle|https://wahapedia.ru/wh40k9ed/factions/chaos-daemons/nurgle|true|CD|
ALTZ|Tzeentch|https://wahapedia.ru/wh40k9ed/factions/chaos-daemons/tzeentch|true|CD|
ALSL|Slaanesh|https://wahapedia.ru/wh40k9ed/factions/chaos-daemons/slaanesh|true|CD|
LGAL|Alpha Legion|https://wahapedia.ru/wh40k9ed/factions/chaos-space-marines/alpha-legion|true|CSM|
LGBL|Black Legion|https://wahapedia.ru/wh40k9ed/factions/chaos-space-marines/black-legion|true|CSM|
LGEC|Emperor’s Children|https://wahapedia.ru/wh40k9ed/factions/chaos-space-marines/emperor-s-children|true|CSM|
LGIW|Iron Warriors|https://wahapedia.ru/wh40k9ed/factions/chaos-space-marines/iron-warriors|true|CSM|
LGNL|Night Lords|https://wahapedia.ru/wh40k9ed/factions/chaos-space-marines/night-lords|true|CSM|
LGWB|Word Bearers|https://wahapedia.ru/wh40k9ed/factions/chaos-space-marines/word-bearers|true|CSM|
LGWE|World Eaters|https://wahapedia.ru/wh40k9ed/factions/chaos-space-marines/world-eaters|true|CSM|
LGCB|Creations of Bile|https://wahapedia.ru/wh40k9ed/factions/chaos-space-marines/creations-of-bile|true|CSM|
LGRC|Red Corsairs|https://wahapedia.ru/wh40k9ed/factions/chaos-space-marines/red-corsairs|true|CSM|
RGKG|Krieg|https://wahapedia.ru/wh40k9ed/factions/astra-militarum/krieg|true|AM|
RGEL|Elysian|https://wahapedia.ru/wh40k9ed/factions/astra-militarum/elysian|true|AM|
RGAR|Armageddon|https://wahapedia.ru/wh40k9ed/factions/astra-militarum/armageddon|true|AM|
RGCN|Cadian|https://wahapedia.ru/wh40k9ed/factions/astra-militarum/cadian|true|AM|
RGCA|Catachan|https://wahapedia.ru/wh40k9ed/factions/astra-militarum/catachan|true|AM|
RGMO|Mordian|https://wahapedia.ru/wh40k9ed/factions/astra-militarum/mordian|true|AM|
RGTA|Tallarn|https://wahapedia.ru/wh40k9ed/factions/astra-militarum/tallarn|true|AM|
RGVA|Valhallan|https://wahapedia.ru/wh40k9ed/factions/astra-militarum/valhallan|true|AM|
RGVO|Vostroyan|https://wahapedia.ru/wh40k9ed/factions/astra-militarum/vostroyan|true|AM|
QI|Imperial Knights|https://wahapedia.ru/wh40k9ed/factions/imperial-knights|false||
SM|Space Marines|https://wahapedia.ru/wh40k9ed/factions/space-marines|false||
TYR|Tyranids|https://wahapedia.ru/wh40k9ed/factions/tyranids|false||
AC|Adeptus Custodes|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes|false||
AS|Adepta Sororitas|https://wahapedia.ru/wh40k9ed/factions/adepta-sororitas|false||
CSM|Chaos Space Marines|https://wahapedia.ru/wh40k9ed/factions/chaos-space-marines|false||
DRU|Drukhari|https://wahapedia.ru/wh40k9ed/factions/drukhari|false||
RaH|Renegades and Heretics|https://wahapedia.ru/wh40k9ed/factions/renegades-and-heretics|false||
RGTN|Tanith|https://wahapedia.ru/wh40k9ed/factions/astra-militarum/tanith|true|AM|
RGBB|Brood Brothers|https://wahapedia.ru/wh40k9ed/factions/astra-militarum/brood-brothers|true|AM|
CHWO|Wolfspear|https://wahapedia.ru/wh40k9ed/factions/space-marines/wolfspear|true|SM|
RGMT|Militarum Tempestus|https://wahapedia.ru/wh40k9ed/factions/astra-militarum/militarum-tempestus|true|AM|
CHC0|No supplements|https://wahapedia.ru/wh40k9ed/factions/space-marines/no-supplements|true|SM|
CA|Astra Cartographica|https://wahapedia.ru/wh40k9ed/factions/astra-cartographica|false||
CWAL|Alaitoc|https://wahapedia.ru/wh40k9ed/factions/aeldari/alaitoc|true|AE|
CWBT|Biel-Tan|https://wahapedia.ru/wh40k9ed/factions/aeldari/biel-tan|true|AE|
CWIY|Iyanden|https://wahapedia.ru/wh40k9ed/factions/aeldari/iyanden|true|AE|
CWSH|Saim-Hann|https://wahapedia.ru/wh40k9ed/factions/aeldari/saim-hann|true|AE|
CWUL|Ulthwé|https://wahapedia.ru/wh40k9ed/factions/aeldari/ulthw-|true|AE|
CWYN|Ynnari|https://wahapedia.ru/wh40k9ed/factions/aeldari/ynnari|true|AE|
CWHA|Harlequins|https://wahapedia.ru/wh40k9ed/factions/aeldari/harlequins|true|AE|
CWAR|Altansar|https://wahapedia.ru/wh40k9ed/factions/aeldari/altansar|true|AE|
CHCR|Castellans of the Rift|https://wahapedia.ru/wh40k9ed/factions/space-marines/castellans-of-the-rift|true|SM|
CLBM|Bad Moons|https://wahapedia.ru/wh40k9ed/factions/orks|true|ORK|
CLBA|Blood Axes|https://wahapedia.ru/wh40k9ed/factions/orks|true|ORK|
CLDS|Deathskulls|https://wahapedia.ru/wh40k9ed/factions/orks|true|ORK|
CLES|Evil Sunz|https://wahapedia.ru/wh40k9ed/factions/orks|true|ORK|
CLFB|Freebooterz|https://wahapedia.ru/wh40k9ed/factions/orks|true|ORK|
CLGF|Goffs|https://wahapedia.ru/wh40k9ed/factions/orks|true|ORK|
CLSB|Snakebites|https://wahapedia.ru/wh40k9ed/factions/orks|true|ORK|
ORMA|Order of Our Martyred Lady|https://wahapedia.ru/wh40k9ed/factions/adepta-sororitas|true|AS|
ORAR|Order of the Argent Shroud|https://wahapedia.ru/wh40k9ed/factions/adepta-sororitas|true|AS|
ORBL|Order of the Bloody Rose|https://wahapedia.ru/wh40k9ed/factions/adepta-sororitas|true|AS|
OREB|Order of the Ebon Chalice|https://wahapedia.ru/wh40k9ed/factions/adepta-sororitas|true|AS|
ORSA|Order of the Sacred Rose|https://wahapedia.ru/wh40k9ed/factions/adepta-sororitas|true|AS|
ORVA|Order of the Valorous Heart|https://wahapedia.ru/wh40k9ed/factions/adepta-sororitas|true|AS|
CKWHP|Prophets of Flesh|https://wahapedia.ru/wh40k9ed/factions/drukhari|true|DRU|
CKWHT|Coven of Twelve|https://wahapedia.ru/wh40k9ed/factions/drukhari|true|DRU|
CKWCS|Cult of Strife|https://wahapedia.ru/wh40k9ed/factions/drukhari|true|DRU|
CKWCC|Cult of the Cursed Blade|https://wahapedia.ru/wh40k9ed/factions/drukhari|true|DRU|
CKWCR|Cult of the Red Grief|https://wahapedia.ru/wh40k9ed/factions/drukhari|true|DRU|
CKWKP|Kabal of the Poisoned Tongue|https://wahapedia.ru/wh40k9ed/factions/drukhari|true|DRU|
CKWKO|Kabal of the Obsidian Rose|https://wahapedia.ru/wh40k9ed/factions/drukhari|true|DRU|
CKWKF|Kabal of the Flayed Skull|https://wahapedia.ru/wh40k9ed/factions/drukhari|true|DRU|
CKWKB|Kabal of the Black Heart|https://wahapedia.ru/wh40k9ed/factions/drukhari|true|DRU|
CKWHD|Dark Creed|https://wahapedia.ru/wh40k9ed/factions/drukhari|true|DRU|
BREX|Exactors|https://wahapedia.ru/wh40k9ed/factions/grey-knights|true|GK|
BRRA|Rapiers|https://wahapedia.ru/wh40k9ed/factions/grey-knights|true|GK|
BRPR|Preservers|https://wahapedia.ru/wh40k9ed/factions/grey-knights|true|GK|
BRPB|Prescient Brethren|https://wahapedia.ru/wh40k9ed/factions/grey-knights|true|GK|
BRWM|Wardmakers|https://wahapedia.ru/wh40k9ed/factions/grey-knights|true|GK|
BRBW|Blades of Victory|https://wahapedia.ru/wh40k9ed/factions/grey-knights|true|GK|
BRSB|Swordbearers|https://wahapedia.ru/wh40k9ed/factions/grey-knights|true|GK|
BRSI|Silver Blades|https://wahapedia.ru/wh40k9ed/factions/grey-knights|true|GK|
GTCC|Cult of Change|https://wahapedia.ru/wh40k9ed/factions/thousand-sons|true|TS|
GTCK|Cult of Knowledge|https://wahapedia.ru/wh40k9ed/factions/thousand-sons|true|TS|
GTCD|Cult of Duplicity|https://wahapedia.ru/wh40k9ed/factions/thousand-sons|true|TS|
GTCG|Cult of Magic|https://wahapedia.ru/wh40k9ed/factions/thousand-sons|true|TS|
GTCN|Cult of Manipulation|https://wahapedia.ru/wh40k9ed/factions/thousand-sons|true|TS|
GTCM|Cult of Mutation|https://wahapedia.ru/wh40k9ed/factions/thousand-sons|true|TS|
GTCP|Cult of Prophecy|https://wahapedia.ru/wh40k9ed/factions/thousand-sons|true|TS|
GTCS|Cult of Scheming|https://wahapedia.ru/wh40k9ed/factions/thousand-sons|true|TS|
GTCT|Cult of Time|https://wahapedia.ru/wh40k9ed/factions/thousand-sons|true|TS|
FWAG|Agripinaa|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus|true|AdM|
FWGR|Graia|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus|true|AdM|
FWLU|Lucius|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus|true|AdM|
FWMA|Mars|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus|true|AdM|
FWME|Metalica|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus|true|AdM|
FWRY|Ryza|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus|true|AdM|
FWST|Stygies VIII|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus|true|AdM|
SEBO|Bork’an|https://wahapedia.ru/wh40k9ed/factions/t-au-empire|true|TAU|
SEDA|Dal’yth|https://wahapedia.ru/wh40k9ed/factions/t-au-empire|true|TAU|
SEFE|Farsight Enclaves|https://wahapedia.ru/wh40k9ed/factions/t-au-empire|true|TAU|
SEKE|Ke’lshan|https://wahapedia.ru/wh40k9ed/factions/t-au-empire|true|TAU|
SESA|Sa’cea|https://wahapedia.ru/wh40k9ed/factions/t-au-empire|true|TAU|
SETA|T’au Sept|https://wahapedia.ru/wh40k9ed/factions/t-au-empire|true|TAU|
SEVI|Vior’la|https://wahapedia.ru/wh40k9ed/factions/t-au-empire|true|TAU|
HFBE|Behemoth|https://wahapedia.ru/wh40k9ed/factions/tyranids|true|TYR|
HFGO|Gorgon|https://wahapedia.ru/wh40k9ed/factions/tyranids|true|TYR|
HFHY|Hydra|https://wahapedia.ru/wh40k9ed/factions/tyranids|true|TYR|
HFJO|Jormungandr|https://wahapedia.ru/wh40k9ed/factions/tyranids|true|TYR|
HFKA|Kraken|https://wahapedia.ru/wh40k9ed/factions/tyranids|true|TYR|
HFKO|Kronos|https://wahapedia.ru/wh40k9ed/factions/tyranids|true|TYR|
HFLE|Leviathan|https://wahapedia.ru/wh40k9ed/factions/tyranids|true|TYR|
CUBC|Bladed Cog|https://wahapedia.ru/wh40k9ed/factions/genestealer-cults|true|GC|
CUCF|Cult of the Four-armed Emperor|https://wahapedia.ru/wh40k9ed/factions/genestealer-cults|true|GC|
CUHC|Hivecult|https://wahapedia.ru/wh40k9ed/factions/genestealer-cults|true|GC|
CUPP|Pauper Princes|https://wahapedia.ru/wh40k9ed/factions/genestealer-cults|true|GC|
CURC|Rusted Claw|https://wahapedia.ru/wh40k9ed/factions/genestealer-cults|true|GC|
CUTH|Twisted Helix|https://wahapedia.ru/wh40k9ed/factions/genestealer-cults|true|GC|
PCHA|Harbingers|https://wahapedia.ru/wh40k9ed/factions/death-guard|true|DG|
PCIN|Inexorable|https://wahapedia.ru/wh40k9ed/factions/death-guard|true|DG|
PCMA|Mortarion’s Anvil|https://wahapedia.ru/wh40k9ed/factions/death-guard|true|DG|
PCWR|Wretched|https://wahapedia.ru/wh40k9ed/factions/death-guard|true|DG|
PCPO|Poxmongers|https://wahapedia.ru/wh40k9ed/factions/death-guard|true|DG|
PCFE|Ferrymen|https://wahapedia.ru/wh40k9ed/factions/death-guard|true|DG|
PCMC|Mortarion’s Chosen Sons|https://wahapedia.ru/wh40k9ed/factions/death-guard|true|DG|
QAME|Questor Mechanicus|https://wahapedia.ru/wh40k9ed/factions/imperial-knights|true|QI|
QAIM|Questor Imperialis|https://wahapedia.ru/wh40k9ed/factions/imperial-knights|true|QI|
NHFB|Freeblade|https://wahapedia.ru/wh40k9ed/factions/imperial-knights|true|QI|
NHHV|House Vulker|https://wahapedia.ru/wh40k9ed/factions/imperial-knights|true|QI|
NHTE|House Terryn|https://wahapedia.ru/wh40k9ed/factions/imperial-knights|true|QI|
NHTA|House Taranis|https://wahapedia.ru/wh40k9ed/factions/imperial-knights|true|QI|
NHHR|House Raven|https://wahapedia.ru/wh40k9ed/factions/imperial-knights|true|QI|
NHHM|House Mortan|https://wahapedia.ru/wh40k9ed/factions/imperial-knights|true|QI|
NHHK|House Krast|https://wahapedia.ru/wh40k9ed/factions/imperial-knights|true|QI|
NHHH|House Hawkshroud|https://wahapedia.ru/wh40k9ed/factions/imperial-knights|true|QI|
NHHG|House Griffith|https://wahapedia.ru/wh40k9ed/factions/imperial-knights|true|QI|
NHHC|House Cadmus|https://wahapedia.ru/wh40k9ed/factions/imperial-knights|true|QI|
QTIC|Iconoclast Household|https://wahapedia.ru/wh40k9ed/factions/chaos-knights|true|QT|
DHDB|Dreadblade|https://wahapedia.ru/wh40k9ed/factions/chaos-knights|true|QT|
DHHV|House Vextrix|https://wahapedia.ru/wh40k9ed/factions/chaos-knights|true|QT|
DHHL|House Lucaris|https://wahapedia.ru/wh40k9ed/factions/chaos-knights|true|QT|
DHHX|House Korvax|https://wahapedia.ru/wh40k9ed/factions/chaos-knights|true|QT|
DHHK|House Khymere|https://wahapedia.ru/wh40k9ed/factions/chaos-knights|true|QT|
DHHO|House Khomentis|https://wahapedia.ru/wh40k9ed/factions/chaos-knights|true|QT|
DHHH|House Herpetrax|https://wahapedia.ru/wh40k9ed/factions/chaos-knights|true|QT|
QTIN|Infernal Household|https://wahapedia.ru/wh40k9ed/factions/chaos-knights|true|QT|
