faction_id|name|type|cp_cost|legend|source_id|description|id|
|SIGNAL THE ATTACK|Attacker Stratagem|2|||Use this Stratagem at the end of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, before making any Reserve rolls. Until the end of the turn you can add 1 to every Reserve roll you make.|000002144003|
|COVER GROUND|Attacker Stratagem|1|||Use this Stratagem immediately before a unit rolls for its <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advance</a> distance – you count as having rolled a 6.|000002146003|
|CAMOUFLAGE|Attacker Stratagem|1|||Use this Stratagem when one of your units is set up during deployment. Halve that unit’s Power Rating when working out the distance at which it can be spotted by Sentries.|000002148003|
|SCAN FOR DISTRESS BEACONS|Attacker Stratagem|1|||Use this Stratagem at the end of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a> if a model is within 12" of one of the pieces of terrain that may contain the Spy that has yet to be investigated. On a 6, you have found the Spy and it is placed using the rules above.|000002150004|
|CAST THEM DOWN!|Attacker Stratagem|2|Fighting near the edge of the platform is fraught with danger…||Use this Stratagem at the end of the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>. Select one enemy unit that cannot <a href="/wh40k9ed/the-rules/core-rules/#Flying"><span class="kwb">FLY</span></a> that is within 1" of any units from your army and within 1" of the edge of the platform (see <a href="/wh40k9ed/the-rules/psychic-awakening/#Theatre-of-War:-High-Altitude">Theatre of War: High Altitude</a>). That unit suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|000004377003|
|DEMOLITIONS|Attacker Stratagem|1|Severing essential power couplings and securing grenades against exposed plating ensures rapid destruction of the defence turrets.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>. Select one <a href="/wh40k9ed/the-rules/core-rules/#Objective-Markers">objective marker</a> that is within 1" of any units from your army and roll one D6. On a 3+ that objective marker suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|000004377004|
|THE ARCHITECTS REVEALED|Attacker Stratagem|3|Stepping forth before the fleeing Reborn, the Drukhari strike them down before they could react.||Use this Stratagem at the end of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. Set up one <span class="kwb">DRUKHARI</span> unit with a <a href="/wh40k9ed/the-rules/core-rules/#Power-Ratings">Power Rating</a> of 5 or less wholly within the area marked as the Webway Gate on the deployment map. If the unit cannot be set up wholly within this area, it is not set up.|000004379002|
|CUT THEM OFF|Attacker Stratagem|1|Recon elements of your forces speed ahead to cut off the enemy retreat.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, when a unit with the Fast Attack <a href="/wh40k9ed/the-rules/core-rules/#Battlefield-Role">Battlefield Role</a> <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advances</a>. Add 6" to the Move characteristic of that unit’s models until the end of the Movement phase instead of making an Advance roll.|000004379003|
|HEAD START|Attacker Stratagem|3|Receiving intelligence from unknown sources, your forces spring their trap with impeccable timing.||Use this Stratagem at the start of the battle, before the first battle round. You can take the first turn instead of the Defender.|000004379004|
|DESECRATION|Attacker Stratagem|1|The forces of Slaanesh take any opportunity to provoke the Aeldari into extremes of emotion.||Use this Stratagem at the end of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. Select one <a href="/wh40k9ed/the-rules/core-rules/#Woods">woods</a> <a href="/wh40k9ed/the-rules/core-rules/#Terrain-Features">terrain feature</a> that is within 1" of a <span class="kwb">SLAANESH</span> unit from your army. Subtract 1 from the Leadership characteristic of <span class="kwb">AELDARI</span> models until the end of the battle. You cannot use this Stratagem on the same woods terrain feature more than once per battle.|000004380002|
|DESTROY THE REBORN|Attacker Stratagem|2|The Reborn’s use of soul energy is taken as a grave insult by the forces of Slaanesh.||Use this Stratagem in any phase, when an Ynnari unit from your opponent’s army begins drawing <a href="/wh40k9ed/factions/ynnari/#Strength-from-Death">strength from death</a>. Select one <span class="kwb">SLAANESH</span> unit within 9" of that unit. Until the end of your next turn, when resolving an attack made by a model in that Slaanesh unit, add 1 to the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.|000004380003|
|EXQUISITE AGONIES|Attacker Stratagem|1|The Daemons of the Dark Prince draw vigour from the pain of their prey.||Use this Stratagem at the start of the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>. Select one <span class="kwb">SLAANESH</span> unit from your army. Until the end of that phase, when an enemy model loses a wound as a result of an attack made by a model in the selected unit, roll one D6; on a 4+ that model in the selected unit regains 1 lost wound.|000004380004|
|UNENDING HORDES|Attacker Stratagem|1|Under the auspices of the Great Rift, the Dark Cardinal’s ceremonies unleashed untold numbers of Daemonkind upon the shrine’s protectors.||Use this Stratagem at the start of the <a href="/wh40k9ed/the-rules/core-rules/#MORALE-PHASE">Morale phase</a>. Select one <span class="tooltip01181" data-tooltip-content="#tooltip_content01181" data-tooltip-anchor="#tooltip_content01181"><span class="kwb">CHAOS</span> <span class="kwb">DAEMON</span></span> unit from your army that contains a <span class="redfont">Daemonic Icon</span>. Until the end of that phase, that unit’s <span class="redfont">Daemonic Icon</span> takes effect on a roll of 1-3, instead of 1.|000004381002|
|WAVE OF GORE|Attacker Stratagem|1|The River Carmine’s waters surged their banks, the ethereal flood burning away vast swathes from both sides.||Use this Stratagem at the start of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. For each non-<span class="kwb">DAEMON</span> unit on the battlefield, roll one D6; on a 5+ that unit suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>. You can only use this Stratagem once per battle.|000004381003|
|CHAOTIC MUTATION|Attacker Stratagem|1|At the height of the battle for the Grand Honorificum, unbound energies took hold of many Word Bearers, granting them the dark blessing of mutation.||Use this Stratagem at the start of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. Select one <span class="tooltip01182" data-tooltip-content="#tooltip_content01182" data-tooltip-anchor="#tooltip_content01182"><span class="kwb">WORD</span> <span class="kwb">BEARERS</span> <span class="kwb">INFANTRY</span></span> unit (<span class="tooltip01183" data-tooltip-content="#tooltip_content01183" data-tooltip-anchor="#tooltip_content01183"><span class="kwb">CHAOS</span> <span class="kwb">CULTISTS</span></span> units cannot be chosen) to receive a mutation. Roll one D3 and look up the result below.<br><br><div class="BreakInsideAvoid"  style="""><table border="0" bordercolor="#888" cellpadding="4" cellspacing="0" style="border-collapse:collapse;border-width:0px"><tbody><tr><td><table  border="1" bordercolor="#888" cellpadding="4" style="border-collapse:collapse;border-color:#888888;border-width:0px"><tbody><tr><td style="border-width:0 0 0 0;text-align:center;vertical-align:middle;width:40px;height:0px;"><b>D3</b></td><td style="border-width:0 0 0 0;vertical-align:middle;width:320px;height:0px;"><b>Mutation</b></td></tr><tr><td style="border-width:0 0 0 0;text-align:center;vertical-align:middle;width:40px;height:0px;"><b>1</b></td><td style="border-width:0 0 0 0;vertical-align:middle;width:320px;height:0px;"><b>Cloven Feet:</b> Add 2" to the Move characteristic of models in the unit.</td></tr><tr><td style="border-width:0 0 0 0;text-align:center;vertical-align:middle;width:40px;height:0px;"><b>2</b></td><td style="border-width:0 0 0 0;vertical-align:middle;width:320px;height:0px;"><b>Unholy Vigour:</b> Each model in the unit adds 1 to its Strength and Toughness characteristics.</td></tr><tr><td style="border-width:0 0 0 0;text-align:center;vertical-align:middle;width:40px;height:0px;"><b>3</b></td><td style="border-width:0 0 0 0;vertical-align:middle;width:320px;height:0px;"><b>Clawed Forelimbs:</b> Each model in the unit adds 1 to its Attacks characteristic.</td></tr></tbody></table></td></tr></tbody></table></div><br>The effects of this mutation last for the remainder of the battle. A unit can only be selected for this Stratagem once per battle.|000004381004|
|TENDRILS OF SCARAX KROND|Attacker Stratagem|2|The forces of the Iron Warriors pour forth from the giant, cybernetic forelimbs of Etrogar’s daemonic forge ship.||Use this Stratagem at the start of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. You can place one new pseudopod tunnel marker within the Pseudopod Eruption Zone; the centre of the new tunnel marker must be at least 12" away from the centre of any other tunnel markers. Roll one D6 for each enemy unit within 6" of the new tunnel marker; on a 4+ that unit suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a>.|000004383002|
|FOUL MIASMA|Attacker Stratagem|1|Choking clouds of industrial waste billow from the vents of snaking pseudopods.||Use this Stratagem at the end of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. Select one pseudopod tunnel marker. Until the start of your next Movement phase, units wholly within 6" of that tunnel marker always receive the <a href="/wh40k9ed/the-rules/core-rules/#Terrain-and-Cover">benefits of cover</a>.|000004383003|
|HIDDEN DANGERS|Attacker Stratagem|2|The tunnels carved out by the arms of the Scarax Krond are filled with hazards and prone to sudden collapse.||Use this Stratagem at the start of your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>. Select one enemy unit within 2" of a pseudopod tunnel marker. Roll a dice; on a 2+ that unit suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|000004383004|
|DELVING TENDRILS|Attacker Stratagem|1|Once a hive fleet has sunk its talons into a prey world, there is nowhere its organisms cannot reach.||Use this Stratagem at the start of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. Select one unit from your army that was set up in <a href="/wh40k9ed/the-rules/psychic-awakening/#Reserves">Reserve</a>. That unit can be set up anywhere on the battlefield that is wholly within an Outflank Zone, and can move normally this turn.|000004385002|
|DRIVEN IMPERATIVE|Attacker Stratagem|1|With a pulse of psychic command, the Hive Mind pushes its warriors minds and bodies to their limits.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. Select one unit from your army. Until the end of the turn, when that unit <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advances</a>, instead of making an Advance roll add 6" to the Move characteristics of models in that unit until the end of the Movement phase.|000004385004|
|ALL HASTE|Attacker Stratagem|1|The attackers forego all patience and advance to stop the ritual.||Use this Stratagem at the start of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. Until the start of your next Movement phase, when an <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advance roll</a> is made for a unit from your army, roll one additional D6 and discard one of the dice.|000004387002|
|PSYCHIC BEACON|Attacker Stratagem|3|The blazing white light of the Grey Knights’ aegis guides a barrage of orbital bombardments.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, when you choose a <span class="tooltip00649" data-tooltip-content="#tooltip_content00649" data-tooltip-anchor="#tooltip_content00649"><span class="kwb">GREY</span> <span class="kwb">KNIGHTS</span> <span class="kwb">PSYKER</span></span> unit from your army to <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifest a psychic power</a>. Instead of manifesting one psychic power with that <span class="kwb">PSYKER</span>, select one point on the battlefield visible to that <span class="kwb">PSYKER</span> and roll one D6 for each unit within D6" of that point. Subtract 1 from the result if the unit being rolled for is a <a href="/wh40k9ed/the-rules/core-rules/#Characters"><span class="kwb">CHARACTER</span></a>, subtracting an additional 1 if the unit being rolled for is <a href="/wh40k9ed/factions/thousand-sons/Magnus-the-Red">Magnus the Red</a>. On a 3+ the unit being rolled for suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>, or D6 mortal wounds if it contains 6 or more models.|000004387003|
|SWIFT ADVANCE|Attacker Stratagem|1|In the intense fighting for Iglesor Magna, the T’au are swift to take any advantage they can.||Use this Stratagem at the start of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. Select up to three <span class="kwb">T’AU</span> <span class="kwb">EMPIRE</span> units from your army. Until the end of that phase, when one of those units <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advances</a>, add 6" to its Move characteristic instead of making an Advance roll.|000004388002|
|BREAKING THEIR SPIRIT|Attacker Stratagem|0|The T’au are determined to break their foes’ morale. A quick victory will inspire fear in the other cathedra-cities and bolster the T’au fighting elsewhere.||Use this Stratagem in the Shooting or <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, when an enemy <a href="/wh40k9ed/the-rules/core-rules/#Characters"><span class="kwb">CHARACTER</span></a> unit is destroyed as a result of an attack made by a <span class="kwb">T’AU</span> <span class="kwb">EMPIRE</span> model from your army. You receive 1 <a href="/wh40k9ed/the-rules/core-rules/#Command-Points">Command Point</a>.|000004388003|
|UNDER THE COVER OF DARKNESS|Attacker Stratagem|1|Blacksun filters help the T’au excel in combat in pitch darkness.||Use this Stratagem at the start of the first battle round, before the first turn begins. Select one <span class="kwb">T’AU</span> <span class="kwb">EMPIRE</span> unit from your army. That unit can make a move as if it were your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. That unit must end that move more than 9" away from any enemy models. If both players have units that can do this, the player who is taking the first turn moves their units first.|000004388004|
|AIR ASSAULT|Attacker Stratagem|1|Striking from the air, the attackers are determined to rapidly overrun their enemies.||Use this Stratagem during deployment. Select one <span class="kwb">INFANTRY</span> unit from your army. You can set up that unit in an airborne assault craft instead of setting it up on the battlefield. If you do, at the end of any of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phases</a> you can set up that unit anywhere on the battlefield that is more than 6" away from any enemy models. That unit cannot make a <a href="/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit">charge move</a> this turn unless it was set up more than 9" away from any enemy models.|000004390002|
|STRAFING RUN|Attacker Stratagem|1|Attacking flyers bombard the defenders’ positions, saturating them with fire to clear the way.||Use this Stratagem at the end of your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>. Select one unit from your army with the Flyer <a href="/wh40k9ed/the-rules/core-rules/#Battlefield-Role">Battlefield Role</a>. That unit can shoot an additional time that phase, but can only target <span class="kwb">INFANTRY</span> units with those attacks.|000004390003|
|DIG IN|Attacker Stratagem|1|Under pressure from rallying defenders, the attackers dig in, determined to hold their secured ground.||Use this Stratagem during deployment. Select one <a href="/wh40k9ed/the-rules/core-rules/#Terrain-Features">terrain feature</a>. When a model in your army would receive the <a href="/wh40k9ed/the-rules/core-rules/#Terrain-and-Cover">benefit of cover</a> from that terrain feature, add an additional 1 to the <a href="/wh40k9ed/the-rules/core-rules/#4.-Saving-Throw">saving throw</a> (excluding <a href="/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable saves</a>).|000004390004|
|VANTAGE POINT|Attacker Stratagem|1|With rapid and cunning analysis, the attackers have discovered the best firing positions.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, when a unit from your army is chosen to shoot with. Until the end of that phase, when resolving an attack made with a ranged weapon by a model in that unit whilst on or within a hill or upper level of a <a href="/wh40k9ed/the-rules/core-rules/#Terrain-Features-1">terrain feature</a>, add 1 to the <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>.|000004390005|
|FULL SPEED|Attacker Stratagem|1|Racing to intercept the enemy’s lead elements, this crew push their engines to the limit.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, before you make an <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advance roll</a> for a <span class="kwb">VEHICLE</span> unit. When that unit Advances, add 9" to its Move characteristic until the end of that Movement phase instead of making an Advance roll.|000004392002|
|PRIORITY TARGET|Attacker Stratagem|1|Your forces have memorised the distinctive markings of the vehicle of one of the enemy’s foremost warriors.||Use this Stratagem during deployment, when your opponent nominates which of their units will be Command Vehicles. Select one of those units. Until the end of the battle, when resolving an attack against that unit, re-roll a <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a> of 1.|000004392003|
|THE WOLF POUNCES|Attacker Stratagem|1|Racing ahead of their fellows, these warriors close with the enemy formation without hesitation.||Use this Stratagem at the start of the first battle round. Select one unit from your army. You can immediately <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advance</a> with that unit as if it were your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. You cannot end this move within 9" of any enemy models.|000004392004|
|ORBITAL GUIDANCE|Attacker Stratagem|2|Ships in orbit have tracked the course of the enemy column and ‘encouraged’ it to move towards your forces with precision bombardments.||Use this Stratagem at the start of your opponent’s <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. Select a point on the battlefield, and mark it with a suitable marker. At the end of that phase, each unit within D6" of the marker suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a> (roll for each unit separately).|000004392005|
|BOARDING CRAFT|Attacker Stratagem|2|An assault craft swoops in and deposits a fresh complement of warriors ready to board this vessel.||Use this Stratagem at the end of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. Select one <span class="kwb">INFANTRY</span> unit from your army that has been destroyed and that does not contain more than 10 models. Set that unit up again anywhere on the battlefield that is more than 9" from any enemy models.|000004393002|
|PROTECT THE BREACHERS|Attacker Stratagem|2|Your forces are moving with all speed for the objective, its protection all that matters at this point in the battle.||Use this Stratagem at the end of the enemy <a href="/wh40k9ed/the-rules/core-rules/#CHARGE-PHASE">Charge phase</a>. Select one unit from your army that is within 3" of one of any of the breaching zones. You can immediately <a href="/wh40k9ed/the-rules/core-rules/#Performing-a-Heroic-Intervention">perform a Heroic Intervention</a> with that unit as if it were a <a href="/wh40k9ed/the-rules/core-rules/#Characters"><span class="kwb">CHARACTER</span></a>.|000004393003|
|BREACHING CHARGES|Attacker Stratagem|1|Your warriors are equipped with explosives for breaking through armoured bulkheads and defensive points within the ship. In extremis these can be rigged and thrown at the enemy’s feet, blasting them off into the void.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>. Select an enemy unit that has 5 or more models that is within 6" of a unit from your army. That enemy unit suffers D6 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>. This Stratagem can only be used once per battle.|000004393004|
|STORM THE CITADEL!|Attacker Stratagem|1|Filled with the religious zeal of Baroness Sordhen, the Imperial Knights would allow nothing to stay their fury.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, when you declare an <span class="kwb">IMPERIAL</span> <span class="kwb">KNIGHTS</span> model from your army will <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advance</a>. Until the end of the turn, when making an Advance roll for that model, roll two additional D6 and discard two of the dice. Until the end of the turn, that model can shoot with ranged weapons as if it had not Advanced.|000004394002|
|OVERLAPPING ION DEFENCE|Attacker Stratagem|2|To weather the concentrated defensive fire, the Imperial Knights of the Padah March overlapped their ion shields.||Use this Stratagem when an <span class="kwb">IMPERIAL</span> <span class="kwb">KNIGHTS</span> unit from your army is chosen as the target of an attack made with a ranged weapon whilst within 2" of another friendly <span class="kwb">IMPERIAL</span> <span class="kwb">KNIGHTS</span> unit. Until the start of your next turn, when resolving an attack made with a ranged weapon against that targeted unit or any friendly <span class="kwb">IMPERIAL</span> <span class="kwb">KNIGHTS</span> units within 2" of that unit, add 1 to the <a href="/wh40k9ed/the-rules/core-rules/#4.-Saving-Throw">saving throw</a>. You can only use this Stratagem once per battle.|000004394003|
|UNSHEATHING THE LANCE|Attacker Stratagem|1|Moving in fluid coordination, Imperial Knights lanced forward from the lee of their oath-sworn fellows.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#CHARGE-PHASE">Charge phase</a>, when you choose an <span class="kwb">IMPERIAL</span> <span class="kwb">KNIGHTS</span> model from your army to charge with whilst within 2" of another friendly <span class="kwb">IMPERIAL</span> <span class="kwb">KNIGHTS</span> model. Until the end of the turn, you can re-roll <a href="/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit">charge rolls</a> made for that model and when resolving an attack made with a melee weapon by that model, you can re-roll the <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>.|000004394004|
|RIGGED TRAP|Attacker Stratagem|2|Hidden explosives, psychic detonators or ravenous bio-vectors savage the enemy before a shot has been fired.||Use this Stratagem at the start of the first battle round, but before the first turn begins. Select one enemy unit on the battlefield that is not a <a href="/wh40k9ed/the-rules/core-rules/#Characters"><span class="kwb">CHARACTER</span></a>. That unit suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>. Roll one D6 for each other unit within 3" of that unit. On a 3+ that other unit suffers D3 mortal wounds. Until the start of the next battle round, halve the Move characteristic of any unit that suffered mortal wounds as a result of this Stratagem.|000004395003|
|FIERCE ASSAULT|Attacker Stratagem|1|The carefully orchestrated hunt comes to a violent crescendo as the stalkers close upon their foe.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a> or the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, when a unit from your army is chosen to shoot or fight with. Until the end of that phase, when resolving an attack made by a model in that unit against the closest enemy unit, add 1 to the <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>.|000004395004|
