id|name|type|edition|version|errata_date|errata_link|
000000016|Astra Militarum|Codex|8|Indomitus 1.1|05.10.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/09/rLPei6snULK8OoF7.pdf|
000000017|Craftworlds|Codex|8|Indomitus 1.2|02.06.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/09/xwweqZyBzcKzqXm8.pdf|
000000018|Chapter Approved ’2017|Expansion|8|1.1|16.04.2018 0:00:00|https://whc-cdn.games-workshop.com/wp-content/uploads/2017/12/warhammer_40000_chapter_approved_2017_en-1-1.pdf|
000000019|Bonesinger|Made to Order|8||15.10.2017 0:00:00|https://whc-cdn.games-workshop.com/wp-content/uploads/2017/10/ENG_Bonesinger.pdf|
000000020|Tyranids|Codex|8|Indomitus 1.2|07.01.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/09/856virktyz1i7lH7.pdf|
000000021|Blood Angels|Codex Supplement|9|Indomitus 1.0|07.01.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2021/01/vGB1VceOfqSkvmVD.pdf|
000000022|Sly Marbo|Made to Order|8||01.01.0001 0:00:00||
000000023|Dark Angels|Codex Supplement|9|Indomitus 1.0|29.03.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2021/03/MMK94Rg8eWI6hmLN.pdf|
000000024|Adeptus Custodes|Codex|8|Indomitus 1.1|05.10.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/10/vzrafnRTSK6816Dh.pdf|
000000025|Chaos Daemons|Codex|8|Indomitus 1.2|24.09.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/04/fg9dAIcx6EvpwCM3.pdf|
000000026|Forge World: Adeptus Custodes Rules Preview|Dataslate|8||13.02.2018 0:00:00|https://whc-cdn.games-workshop.com/wp-content/uploads/2018/02/AdeptusCustodes-Preview-Feb2018.pdf|
000000027|Thousand Sons|Codex|9|Indomitus 1.0|17.09.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/09/djrQBhGf6Lkf78BE.pdf|
000000028|T’au Empire|Codex|8|Indomitus 1.2|07.01.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/10/12VoN8wWcwf0amfi.pdf|
000000029|Necrons|Codex|9|Indomitus 1.2|02.06.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/04/j73wm9naQxggHK57.pdf|
000000030|Forge World: Legio Custodes Telemon Heavy Dreadnought|Dataslate|8||10.05.2018 0:00:00|https://www.forgeworld.co.uk/resources/PDF/Downloads/40k-Adeptus-Custodes-Telemon-2018.pdf|
000000031|Drukhari|Codex|9|Indomitus 1.1|02.06.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/05/UsesnvPePAiqxPXL.pdf|
000000032|Harlequins|Codex|8|Indomitus 1.4|02.06.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/04/x0r97zajzdO9Idqz.pdf|
000000033|Renegade Knights|Index|8|1.0|28.09.2018 0:00:00|https://whc-cdn.games-workshop.com/wp-content/uploads/2018/06/warhammer_40000_index_renegade_knights_en.pdf|
000000034|Imperial Knights|Codex|8|Indomitus 1.1|05.10.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/10/Qk5VMhKkshNiajqY.pdf|
000000035|Deathwatch|Codex Supplement|9|Indomitus 1.0|17.12.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/12/nxnFmoeohIerS0xJ.pdf|
000000036|Space Wolves|Codex Supplement|9|Indomitus 1.0|17.12.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/12/s69zaNVopCLyoo3F.pdf|
000000037|Forge World: Astraeus Super-heavy Tank|Dataslate|8||12.10.2017 0:00:00|https://www.forgeworld.co.uk/resources/PDF/Downloads/Astraeus-Super-heavy-Tank-Download-2017.pdf|
000000038|Forge World: Gabriel Angelos|Dataslate|8||28.07.2017 0:00:00|https://www.forgeworld.co.uk/resources/PDF/Downloads/Gabriel%20Angelos%20web%20download%20v2.pdf|
000000039|Forge World: Relic Sicaran Arcus Strike Tank|Dataslate|8||04.08.2017 0:00:00|https://www.forgeworld.co.uk/resources/PDF/Downloads/Relic%20Sicaran%20Arcus%20Strike%20Tank%20Download.pdf|
000000040|Forge World: Relic Sicaran Omega Tank Destroyer|Dataslate|8||08.09.2017 0:00:00|https://www.forgeworld.co.uk/resources/PDF/Downloads/Relic%20Sicaran%20Omega%20Tank%20Destroyer.pdf|
000000041|Forge World: Tiger Shark AX-1-0|Dataslate|8||01.10.2017 0:00:00|https://www.forgeworld.co.uk/resources/PDF/Downloads/Tiger%20Shark%20AX-1-0.pdf|
000000042|Forge World: Tiger Shark|Dataslate|8||10.11.2017 0:00:00|https://www.forgeworld.co.uk/resources/PDF/Downloads/Tiger%20Shark.pdf|
000000043|Forge World: Termite Assault Drill|Dataslate|8||15.06.2018 0:00:00|https://www.forgeworld.co.uk/resources/PDF/Downloads/warhammer_40000_termite_assault_drill_en.pdf|
000000044|Forge World: Secutarii Peltasts|Dataslate|8||15.06.2018 0:00:00|https://www.forgeworld.co.uk/resources/PDF/Downloads/warhammer_40000_secutarii_peltasts_en.pdf|
000000045|Forge World: Secutarii Hoplites|Dataslate|8||15.06.2018 0:00:00|https://www.forgeworld.co.uk/resources/PDF/Downloads/warhammer_40000_secutarii_hoplites_en.pdf|
000000046|Orks|Codex|9|Indomitus 1.0|14.09.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/09/z996aiSRfWwE3iDz.pdf|
000000047|Tooth and Claw|Expansion|8||15.08.2018 0:00:00||
000000048|Designers’ Commentary|Rulebook|8|1.4|29.04.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2018/09/warhammer_40000_rulebook_en-3.pdf|
000000049|Stepping into a New Edition of Warhammer 40,000|Rulebook|8||01.07.2017 0:00:00|https://whc-cdn.games-workshop.com/wp-content/uploads/2017/11/warhammer_40000_stepping_into_a_new_edition_en.pdf|
000000050|Chapter Approved ’2018|Expansion|8|1.2|27.09.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/05/warhammer_40000_chapter_approved_2018_en.pdf|
000000051|Imperium Nihilus: Vigilus Defiant|Expansion|8|Indomitus 1.1|27.07.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/10/7slWACKe0or8JFzM.pdf|
000000052|Forge World: Adeptus Custodes Datasheets|Dataslate|8||30.08.2019 0:00:00|https://www.forgeworld.co.uk/resources/PDF/fw_warscrolls/40K_Adeptus_Custodes_FW_Datasheets_Ares.pdf|
000000053|Genestealer Cults|Codex|8|Indomitus 1.3|07.01.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/09/ovGED8HBC2RUmYKs.pdf|
000000054|Forge World: Seraptek Heavy Construct|Dataslate|8||02.11.2018 0:00:00|https://www.forgeworld.co.uk/resources/PDF/Downloads//Forgeworld_Necron_Seraptek_Datasheet.pdf|
000000055|Games Workshop: Commissar Severina Raine|Dataslate|8||17.02.2019 0:00:00|https://whc-cdn.games-workshop.com/wp-content/uploads/2019/02/40K_AM_Severina_Raine_Datasheet_ENG.pdf|
000000056|Games Workshop: Inquisitor Eisenhorn|Dataslate|8||03.02.2018 0:00:00|https://whc-cdn.games-workshop.com/wp-content/uploads/2018/02/InquisitorEisenhorn-Datasheet-Feb2018.pdf|
000000057|Index Imperialis: Assassins|White Dwarf|8|1.0|30.09.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/09/warhammer_40000_index_officio_assassinorum_en.pdf|
000000058|Games Workshop: Tech-Priest Manipulus|Dataslate|8||25.01.2019 0:00:00||
000000060|Imperium Nihilus: Vigilus Ablaze|Expansion|8|Indomitus 1.0|13.07.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/04/F3uMw2tR6nB9O4oh.pdf|
000000061|Realm of Chaos: Wrath and Rapture|Boxset|8||12.12.2018 0:00:00||
000000062|Warhammer Quest: Blackstone Fortress|Boxset|8||10.11.2018 0:00:00||
000000063|Vanguard Space Marines|Codex|8|1.0|29.04.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/04/warhammer_40000_shadowspear_en-1.pdf|
000000064|Warhammer 40,000 Update 09’2019|Rulebook|8||27.09.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/09/warhammer_40000_september_update_2019_en.pdf|
000000065|Kill Team: Rogue Trader|Boxset|8|Indomitus 1.0|13.07.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/07/6Wkl6G9fG0eY9Zt3.pdf|
000000066|Warhammer Quest: Blackstone Fortress – The Dreaded Ambull|Boxset|8||16.02.2019 0:00:00||
000000067|Games Workshop: Slaanesh Daemon Datasheets|Dataslate|8|1.0|29.05.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/05/40K_8th_ed_Slaanesh_Daemon_Datasheets_ver_1.0.pdf|
000000068|Games Workshop: Battle Tanks and Troop Transports Rules Preview|Dataslate|8||21.06.2019 0:00:00|https://www.warhammer-community.com/2019/06/21/rules-preview-battle-tanks-and-troop-transportsgw-homepage-post-3/|
000000069|Index Astartes: Crimson Fists|White Dwarf|8||01.01.2019 0:00:00||
000000070|Chaos Knights|Codex|8|Indomitus 1.1|05.10.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/10/kUz3Orcu9eBpk4qu.pdf|
000000071|Index Astartes: Blood Ravens|White Dwarf|8||01.07.2019 0:00:00||
000000072|Forge World: Chaos Knights|Dataslate|8||25.07.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/07/Chaos_Knights_FW_Army_List.pdf|
000000073|Forge World: Imperial Knights|Dataslate|8||25.07.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/07/Imperial_Knights_FW_Army_List.pdf|
000000074|Index Xenos: Ynnari|White Dwarf|8|1.1|27.09.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/05/warhammer_40000_Index_Ynnari_en.pdf|
000000075|Repulsor Executioner Update|Dataslate|8||30.07.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/07/warhammer_40000_repulsor_executioner_update_en.pdf|
000000076|Space Marines II|Codex|8|Indomitus 1.0|13.07.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/09/z0F4GiSc1Rd5B9wi.pdf|
000000077|Ultramarines|Supplement|8|Indomitus 1.3|02.06.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/09/tXjYTueKPwpeqsiW.pdf|
000000078|White Scars|Supplement|8|Indomitus 1.1|05.10.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/10/jLT7pYPR8tNdmEB2.pdf|
000000079|Warhammer Quest: Blackstone Fortress – Traitor Command|Boxset|8||03.07.2019 0:00:00||
000000080|Warhammer Quest: Blackstone Fortress – Escalation|Boxset|8||24.08.2019 0:00:00||
000000081|Games Workshop: Lord Felthius and the Tainted Cohort|Dataslate|8||16.12.2017 0:00:00||
000000082|Raven Guard|Supplement|8|Indomitus 1.1|05.10.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/10/Ln4npESRPiSD0rLq.pdf|
000000083|Iron Hands|Supplement|8|Indomitus 1.2|02.06.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/10/FJIa4wQZbBN1i85E.pdf|
000000084|Imperial Fists|Supplement|8|Indomitus 1.1|05.10.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/10/Pg7SNcXHy0BwUCW4.pdf|
000000085|Salamanders|Supplement|8|Indomitus 1.1|05.10.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/10/e6wOmgGgeaZ2R7Ls.pdf|
000000086|Heretic Astartes Daemonkin|Codex|8|1.0|06.03.2019 0:00:00||
000000087|Psychic Awakening: Phoenix Rising|Expansion|8|Indomitus 1.2|02.06.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/11/Ht81fCWlwF3cBl3H.pdf|
000000088|Games Workshop: Da Red Gobbo|Dataslate|8||19.11.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/11/d4758fa7.pdf|
000000089|Forge World: Carnodon Tank|Dataslate|8||14.09.2018 0:00:00|https://www.forgeworld.co.uk/resources/PDF/Downloads//Carnodon_Datasheet.pdf|
000000090|Psychic Awakening: Faith & Fury|Expansion|8|Indomitus 1.2|02.06.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/01/aU6W48EyMSPi21Tn.pdf|
000000091|Chapter Approved ’2019|Expansion|8||10.02.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/02/8fa9c5ab.pdf|
000000092|Index Imperialis: Inquisition|White Dwarf|8|1.0|01.11.2019 0:00:00||
000000093|Psychic Awakening: Blood of Baal|Expansion|8|Indomitus 1.2|02.06.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/01/zMqiej6p5O6bTJ6L.pdf|
000000094|Warhammer Legends: Orks|Dataslate|8||04.12.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/12/7661dd41.pdf|
000000095|Warhammer Legends: Thousand Sons|Dataslate|8||04.12.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/12/25553ac3.pdf|
000000096|Warhammer Legends: Space Marines|Dataslate|8||04.12.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/12/8243d6f9.pdf|
000000097|Warhammer Legends: Space Wolves|Dataslate|8||04.12.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/12/0c0ed4ed.pdf|
000000098|Warhammer Legends: Deathwatch|Dataslate|8||04.12.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/12/b8c82775.pdf|
000000099|Warhammer Legends: Inquisition|Dataslate|8||04.12.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/12/bd01e2da.pdf|
000000100|Warhammer Legends: Tyranids|Dataslate|8||04.12.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/12/5bd7f70c.pdf|
000000101|Warhammer Legends: Blood Angels|Dataslate|8||04.12.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/12/543e3d27.pdf|
000000102|Warhammer Legends: Death Guard|Dataslate|8||04.12.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/12/0a6bf313.pdf|
000000103|Warhammer Legends: Chaos Daemons|Dataslate|8||04.12.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/12/a2ea59e3.pdf|
000000104|Warhammer Legends: Legion of the Damned|Dataslate|8||04.12.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/12/36e76afc.pdf|
000000105|Warhammer Legends: Astra Militarum|Dataslate|8||04.12.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/12/b8a09e3d.pdf|
000000106|Warhammer Legends: Grey Knights|Dataslate|8||04.12.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/12/e23d0007.pdf|
000000107|Warhammer Legends: Dark Angels|Dataslate|8||04.12.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/12/b45a1e60.pdf|
000000108|Warhammer Legends: Craftworlds|Dataslate|8||04.12.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/12/84d4072d.pdf|
000000109|Warhammer Legends: Chaos Space Marines|Dataslate|8||04.12.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/12/5e7399ab.pdf|
000000110|Warhammer Legends: Drukhari|Dataslate|8||04.12.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/12/f51f9967.pdf|
000000111|Warhammer Legends: Adepta Sororitas|Dataslate|8||04.12.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/12/c579975b.pdf|
000000112|Adepta Sororitas|Codex|9|Indomitus 1.0|16.07.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/01/qZO9JfHAHPaC3lbF.pdf|
000000113|Index Imperialis: Sisters of Silence|White Dwarf|8|1.0|01.10.2019 0:00:00||
000000114|Psychic Awakening: Ritual of the Damned|Expansion|8|Indomitus 1.3|07.01.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/02/u7b80MERZDlZcUDa.pdf|
000000115|Forge World: Carab Culln the Risen|Dataslate|8||01.01.2017 0:00:00|https://www.forgeworld.co.uk/resources/PDF/Downloads/Carab_Culln_The_Risen_2017.pdf|
000000116|Psychic Awakening: The Greater Good|Expansion|8|Indomitus 1.3|07.01.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/03/rOpACYEN5R1I0Tv3.pdf|
000000117|Forge World: Warbringer Nemesis Titan|Dataslate|8||26.11.2018 0:00:00|https://www.forgeworld.co.uk/resources/fw_site/fw_pdfs/Warhammer_40000/40k_Warbringer_Nemesis_Titan_datasheet.pdf|
000000118|Psychic Awakening: Saga of the Beast|Expansion|8|Indomitus 1.4|07.01.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/07/3gTYEbJNxSoiJBfr.pdf|
000000119|Additional Rules: Deathwatch|White Dwarf|8|Indomitus 1.0|27.07.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/07/e5p0hRGrsecWjzNZ.pdf|
000000120|Psychic Awakening: Engine War|Expansion|8|Indomitus 1.2|07.01.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/07/dyacIDCF8CJy6BQs.pdf|
000000121|Black Library Celebration 2020: Valerian and Aleya|Dataslate|8|Indomitus 1.0|07.01.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2021/01/PST8p3g31an1BqAf.pdf|
000000122|Psychic Awakening: War of the Spider|Expansion|8|Indomitus 1.3|07.01.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/07/UxyL9pt55bM8r3MC.pdf|
000000123|Additional Rules: Harlequins|White Dwarf|8|Indomitus 1.0|27.07.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/07/Ci9HOZRm3e63zp6u.pdf|
000000124|Psychic Awakening: Pariah|Expansion|8|Indomitus 1.2|02.06.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/07/mmAFGPOiu0rTo1yJ.pdf|
000000125|Warhammer Quest: Blackstone Fortress – Deadly Alliance|Boxset|8||24.03.2020 0:00:00||
000000126|PISTOL|Dummy|0||01.01.0001 0:00:00||
000000127|RAPID FIRE|Dummy|0||01.01.0001 0:00:00||
000000128|GRENADE|Dummy|0||01.01.0001 0:00:00||
000000129|ASSAULT|Dummy|0||01.01.0001 0:00:00||
000000130|HEAVY|Dummy|0||01.01.0001 0:00:00||
000000131|Skull (Detachment)|Dummy|0||01.01.0001 0:00:00||
000000132|Chapter Approved ’2020|Expansion|9|Indomitus 1.2|07.01.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/08/nnjnTVNO9s0YfZpc.pdf|
000000133|Forge World: Casan Sabius|Dataslate|8||02.12.2017 0:00:00|https://www.forgeworld.co.uk/resources/PDF/Downloads/Sabius_Karagon__2017.pdf|
000000134|Core Book update|Rulebook|9|Indomitus 1.3|02.06.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/08/lKo58OjfYV7Ysecp.pdf|
000000135|Indomitus: The Edge of Silence|Boxset|9|Indomitus 1.1|23.07.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/07/WwmEkmb1MyUp2pPp.pdf|
000000136|Bullets (Upgrades)|Dummy|0||01.01.0001 0:00:00||
000000137|Wahapedian Commentary|Wahapedian Commentary|0||01.01.0001 0:00:00||
000000138|Warhammer 40,000|Rulebook|8||01.01.0001 0:00:00||
000000139|Space Marines|Codex|9|Indomitus 1.2|02.06.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/09/ahfwKGINAYViDr8B.pdf|
000000140|Index Astartes: Blood Angels|Index|9||05.10.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/10/v68YXckia2D69azL.pdf|
000000141|Index Astartes: Dark Angels|Index|9||09.11.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/09/dBVOuwxpsMDtr1td.pdf|
000000142|Index Astartes: Deathwatch|Index|9||05.10.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/10/rLCZMRuhVxZsxTuV.pdf|
000000143|Index Astartes: Black Templars|Index|9||09.11.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/11/AEYZRo4J2jW94LCM.pdf|
000000144|Index Astartes: Space Wolves|Index|9||09.11.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/10/GamaHDmpGRQShG3u.pdf|
000000145|Warhammer Legends: Forge World|Index|9|1.0|17.12.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/11/1qpk5gayVm5VmR4f.pdf|
000000146|Imperial Armour: Compendium|Index|9|Indomitus 1.2|14.09.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/12/mGZ5338N1LHayzjg.pdf|
000000147|Warhammer Quest: Blackstone Fortress – Ascension|Boxset|9||24.08.2020 0:00:00||
000000148|Munitorum Field Manual|Rulebook|9|Mk I|04.02.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/08/gxruRl769G2olA3v.pdf|
000000149|Index Astartes: Silver Templars|White Dwarf|9||01.09.2020 0:00:00||
000000150|Index Astartes: Tome Keepers|White Dwarf|8||01.05.2020 0:00:00||
000000151|Index Astartes: Emperor’s Spears|White Dwarf|9||01.01.2021 0:00:00||
000000152|Index Astartes: Exorcists|White Dwarf|9||01.03.2021 0:00:00||
000000153|Warzone Charadon: Act I – Book of Rust|Expansion|9||12.03.2021 0:00:00||
000000154|Piety and Pain|Boxset|9|Indomitus 1.1|02.06.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2021/04/1e7mAAqhYXWt9C4W.pdf|
000000155|Black Library Celebration 2021: Uriel Ventris|Dataslate|9||17.02.2021 0:00:00||
000000156|Index Xenos: Goff Orks|White Dwarf|8||01.05.2020 0:00:00||
000000157|Index Hereticus: The Fallen|White Dwarf|9||01.05.2021 0:00:00||
000000158|Warhammer Fest Online: Day 3 – Black Library|Dataslate|9||05.05.2021 0:00:00||
000000159|Chapter Approved ’2021|Expansion|9|Indomitus 1.0|16.07.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/08/avrnaSw2qT2uauyT.pdf|
000000160|Index Astartes: Tome Keepers Crusade Rules|White Dwarf|9||01.06.2021 0:00:00||
000000161|Warzone Charadon: Act II – Book of Fire|Expansion|9|Indomitus 1.0|20.08.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2021/08/eQnTCCEgaOTkWLCg.pdf|
000000162|Black Templars|Codex Supplement|9|Indomitus 1.0|24.11.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2021/11/ZVMKKbFuFGI5ek81.pdf|
000000163|Index Astartes: Wolfspear|White Dwarf|9||01.09.2021 0:00:00||
000000164|Torchbearers Crusade Force|White Dwarf|9||01.07.2021 0:00:00||
000000165|Kill Team: Chalnath – Sisters Novitiate Squad|Dataslate|9||28.10.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2021/10/iUPP5s4nIM1PLtd9.pdf|
000000166|The Balance Dataslate|Rulebook|9||09.11.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2021/11/WVNIlSN1XFw6Zfwo.pdf|
000000167|Warzone Octarius – Book 1: Rising Tide|Expansion|9|Indomitus 1.0|08.12.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2021/12/e3ms7RsCR3PK4qex.pdf|
000000168|Warzone Octarius – Book 2: Critical Mass|Expansion|9||21.11.2021 0:00:00||
000000169|Chapter Approved Mission Pack: Tactical Deployment|Expansion|9|Indomitus 1.1|02.06.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2021/01/iuT4PrdsVzdYh3u3.pdf|
000000170|Grand Tournament 2021 Mission Pack|Expansion|9|Indomitus 1.0|16.07.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/08/RuosDYybaqPbpxTi.pdf|
000000171|Crusade Mission Pack: Beyond the Veil|Expansion|9|Indomitus 1.1|02.06.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2021/01/Aii3fplUOXEB0qWG.pdf|
000000172|Crusade Mission Pack: Containment|Expansion|9||16.10.2021 0:00:00||
000000173|Crusade Mission Pack: Catastrophe|Expansion|9||31.10.2021 0:00:00||
000000174|Da Red Gobbo on Bounca|White Dwarf|9||01.12.2021 0:00:00||
000000175|Army of Renown: Crusher Stampede|White Dwarf|9||01.12.2021 0:00:00||
