datasheet_id|line|button|description|is_index_wargear|
000000007|2|•|This model can be equipped with one of the following instead of 1 choppa: 1 killsaw; 1 weapon from the <i><span class="tooltip00523" data-tooltip-content="#tooltip_content00523"><span class="tt">Souped-up</span> <span class="tt">Weapons</span></span></i> list; 1 weapon from the <i><span class="tooltip00522" data-tooltip-content="#tooltip_content00522"><span class="tt">Choppy</span> <span class="tt">Weapons</span></span></i> list.|false|
000000009|1|•|This model can be equipped with 1 ammo runt.|false|
000000012|1|•|This model can replace its choppa with: 1 killsaw.|false|
000000012|2|•|This model can be equipped with 1 grot oiler.|false|
000000013|1|•|This model can be equipped with 1 grot orderly.|false|
000000014|1|•|This model can be equipped with 1 killsaw instead of 1 power klaw.|false|
000000016|1|•|Any Ork Boy’s slugga and choppa can be replaced with 1 shoota.|false|
000000016|2|•|For every 10 models this unit contains, 1 Ork Boy’s choppa and slugga can be replaced with one of the following: 1 big shoota; 1 rokkit launcha.|false|
000000016|3|•|The Boss Nob’s slugga and choppa can be replaced with two of the following: 1 big choppa; 1 choppa; 1 killsaw; 1 power klaw; 1 power stabba; 1 slugga.|false|
000000016|4|•|The Boss Nob’s slugga and choppa can be replaced with one of the following: 1 kombi-rokkit; 1 kombi-skorcha.|false|
000000018|1|•|This model’s grabba stikk can be replaced with 1 grot-prod.|false|
000000018|2|•|This model can be equipped with one of the following: 1 squig hound; 1 grot-lash.|false|
000000019|1|•|Any number of Spanners can each have their big shoota replaced with one of the following: 1 kustom mega-blasta; 1 rokkit launcha.|false|
000000020|1|•|For every 5 models this unit contains, 1 Tankbusta’s rokkit launcha can be replaced with 1 tankhammer.|false|
000000020|2|•|For every 5 models this unit contains, 1 Tankbusta’s rokkit launcha can be replaced with 1 pair of rokkit pistols.|false|
000000020|3|•|For every 5 models this unit contains, this unit can be equipped with up to 2 bomb squigs.|false|
000000021|1|•|Any number of models can each have their slugga and choppa replaced with two of the following: 1 big choppa; 1 choppa; 1 killsaw; 1 power klaw; 1 power stabba; 1 slugga.|false|
000000021|2|•|Any number of models can each have their slugga and choppa replaced with one of the following: 1 kombi-rokkit; 1 kombi-skorcha.|false|
000000021|3|•|For every 5 models this unit contains, this unit can be equipped with 1 ammo runt.|false|
000000024|1|•|Any model’s power klaw can be replaced with 1 killsaw.|false|
000000024|2|•|Any model’s kustom shoota can be replaced with 1 killsaw.|false|
000000024|3|•|Any model’s kustom shoota can be replaced with one of the following: 1 kombi-skorcha; 1 kombi-rokkit.|false|
000000025|1|•|The Boss Nob’s choppa can be replaced with one of the following: 1 big choppa; 1 power klaw.|false|
000000025|2|•|For every 10 models this unit contains, 1 Kommando s slugga and choppa can be replaced with 1 big shoota.|false|
000000025|3|•|For every 10 models this unit contains, 1 Kommando’s slugga and choppa can be replaced with 1 breacha ram.|false|
000000025|4|•|For every 10 models this unit contains, 1 Kommando’s slugga can be replaced with 1 shokka pistol.|false|
000000025|5|•|For every 10 models this unit contains, 1 Kommando’s slugga and choppa can be replaced with 1 burna.|false|
000000025|6|•|For every 10 models this unit contains, 1 Kommando’s slugga and choppa can be replaced with 1 kustom shoota.|false|
000000025|7|•|For every 10 models this unit contains, 1 Kommando’s slugga and choppa can be replaced with 1 rokkit launcha.|false|
000000025|8|•|For every 10 models this unit contains, this unit can be equipped with 1 bomb squig.|false|
000000025|9|•|For every 10 models this unit contains, this unit can be equipped with 1 distraction grot.|false|
000000026|1|•|This model can be equipped with one of the following: 1 grabbin’ klaw; 1 wreckin’ ball.|false|
000000027|1|•|The Boss Nob’s choppa can be replaced with 1 power klaw.|false|
000000028|1|•|For every 3 models this unit contains, 1 model’s kopta rokkits can be replaced with 1 kustom mega-blasta and 1 big bomb.|false|
000000029|1|•|This model can be equipped with 2 additional supa-shootas.|false|
000000030|1|•|This model can be equipped with 1 skorcha missile racks.|false|
000000032|1|•|This model’s 2 wazbom mega-kannons can be replaced with 2 tellyport mega-blastas.|false|
000000032|2|•|This model can be equipped with 2 supa-shootas.|false|
000000032|3|•|This model’s stikkbomb flinga can be replaced with 1 blastajet force field.|false|
000000033|1|•|Any Warbiker can be equipped with one of the following: 1 slugga; 1 choppa.|false|
000000033|2|•|The Boss Nob on Warbike can be equipped with one of the following: 1 slugga; 1 big choppa; 1 choppa; 1 power klaw.|false|
000000034|1|•|Any model can be equipped with 1 rack of rokkits instead of 1 twin big shoota.|false|
000000036|1|•|Any model can be equipped with 1 rack of rokkits instead of 1 twin big shoota.|false|
000000037|1|•|Any Big Gun can be equipped with one of the following instead of 1 kannon: 1 lobba; 1 zzap gun.|false|
000000038|1|•|This model’s smasha gun can be replaced with one of the following: 1 bubblechukka; 1 kustom mega-kannon; 1 traktor kannon.|false|
000000039|1|•|This model can be equipped with one of the following: 1 kannon; 1 kiIIkannon; 1 zzap gun.|false|
000000039|2|•|This model can be equipped with 1 lobba.|false|
000000039|3|•|This model can be equipped with up to 4 big shootas.|false|
000000039|4|•|This model can be equipped with any of the following: 1 ’ard case; 1 deff rolla; 1 grabbin’ klaw; 1 wreckin’ ball.|false|
000000040|1|•|Any number of models can each have each of their big shootas replaced with one of the following: 1 dread klaw; 1 kustom mega-blasta; 1 rokkit launcha; 1 skorcha.|false|
000000040|2|•|Any number of models can each have each of their dread klaws replaced with one of the following: 1 big shoota; 1 kustom mega-blasta; 1 rokkit launcha; 1 skorcha.|false|
000000041|1|•|Any number of models can each have their big shoota replaced with one of the following: 1 grotzooka; 1 rokkit launcha; 1 skorcha.|false|
000000042|1|•|This model can be equipped with 1 kustom force field.|false|
000000044|1|•|Any number of Spanners can each have their big shoota replaced with one of the following: 1 kustom mega-blasta; 1 rokkit launcha.|false|
000000045|1|•|The Kaptin can be equipped with one of the following: 1 choppa; 1 slugga.|false|
000000045|2|•|The Kaptin can be equipped with 1 gitfinda squig.|false|
000000045|3|•|For every 5 models this unit contains, this unit can be equipped with 1 ammo runt.|false|
000000049|1|•|Any number of models can each have their big shoota replaced with one of the following: skorcha; grotzooka; rokkit launcha; kustom mega-blasta.|false|
000000049|2|•|The Kommanda can be equipped with one of the following: big shoota, skorcha; grotzooka; rokkit launcha; kustom mega-blasta.|false|
000000050|1|•|Any number of this model's big shootas can be replaced with one of the following: skorcha; grotzooka; rokkit launcha; kustom mega-blasta.|false|
000000050|2|•|Any number of this model’s twin big shootas can be replaced with one of the following: 2 skorchas; 2 grotzookas; 2 rokkit launchas; 2 kustom mega-blastas.|false|
000000051|1|•|This model can be equipped with 1 kannon. If it is, it has a <a href="/wh40k9ed/the-rules/core-rules/#Transport-Capacity">transport capacity</a> of 6 models.|false|
000000052|1|•|This model’s killkannon can be replaced with one of the following: 1 dread killsaw; 1 dread rippa klaw.|false|
000000052|2|•|This model’s dread rippa klaw can be replaced with one of the following: 1 dread killsaw; 1 killkannon.|false|
000000053|1|•|This model can be equipped with one each of any of the following: 1 deff rolla; 1 grabbin’ klaw; 1 wreckin’ ball.|false|
000000053|2|•|This model can be equipped with one of the following: 1 big shoota; 2 big shootas; 1 big shoota and 1 rokkit launcher; 1 rokkit launcha; 2 rokkit launchas.|false|
000000054|1|•|This model can be equipped with 1 kannon. If it is, it has a <a href="/wh40k9ed/the-rules/core-rules/#Transport-Capacity">transport capacity</a> of 6 models instead of 12.|false|
000000054|2|•|If this model is not equipped with 1 kannon, it can be equipped with 1 supa-kannon. If it is, it does not have a transport capacity and loses the <span class="kwb">TRANSPORT</span> keyword.|false|
000000055|1|•|This model can be equipped with up to 3 big shootas.|false|
000000056|1|•|This model’s bursta kannon can be replaced with 1 giga shoota.|false|
000000057|1|•|This model’s big shoota can be replaced with one of the following: 1 kustom mega-blasta; 1 rokkit launcha; 1 skorcha.|false|
000000057|2|•|This model’s 2 deffguns can be replaced with 2 rattler kannons.|false|
000000057|3|•|This model can be equipped with up to 2 bigbomms.|false|
000000058|1|•|This model can be equipped with 1 belly gun. If it is, it does not have a <a href="/wh40k9ed/the-rules/core-rules/#Transport-Capacity">transport capacity</a> and loses the <span class="kwb">TRANSPORT</span> keyword.|false|
000000058|2|•|This model’s mega-choppa and twin big shoota can be replaced with one of the following: 1 stompa klaw; 1 stompa lifta-droppa.|false|
000000058|3|•|This model’s deffkannon, supa-gatler and supa-rokkits can be replaced with one of the following: 1 stompa klaw; 1 stompa lifta-droppa.|false|
000000059|1|•|This model can be equipped with 1 kannon.|false|
000000059|2|•|If this model is not equipped with 1 kannon, it can be equipped with 1 Squiggoth supa-kannon. If it is, it has a <a href="/wh40k9ed/the-rules/core-rules/#Transport-Capacity">transport capacity</a> of 15 models.|false|
000000060|1|•|This model’s master-crafted boltgun can be replaced with one of the following: 1 storm shield (maximum 1 per model); 1 weapon from the <i><span class="tooltip00524" data-tooltip-content="#tooltip_content00524"><span class="tt">Combi-weapons</span></span></i> list; 1 weapon from the <i><span class="tooltip00525" data-tooltip-content="#tooltip_content00525"><span class="tt">Pistols</span></span></i> list; 1 weapon from the <i><span class="tooltip00526" data-tooltip-content="#tooltip_content00526"><span class="tt">Melee</span> <span class="tt">Weapons</span></span></i> list.|false|
000000060|2|•|This model’s Astartes chainsword can be replaced with one of the following: 1 relic blade; 1 weapon from the <i><span class="tooltip00526" data-tooltip-content="#tooltip_content00526"><span class="tt">Melee</span> <span class="tt">Weapons</span></span></i> list; 1 storm shield (maximum 1 per model).|false|
000000060|3|•|If this model is from the Deathwatch Chapter, its Astartes chainsword can be replaced with 1 xenophase blade.|false|
000000060|4|•|This model’s Astartes chainsword can be replaced with 1 xenophase blade.|false|
000000060|5|•|This model can be equipped with 1 jump pack (<b>Power Rating +1</b>).|false|
000000061|1|•|This model’s storm bolter can be replaced with one of the following: 1 combi-bolter; 1 lightning claw; 1 power fist; 1 thunder hammer; 1 storm shield (maximum 1 per model); 1 weapon from the <i><span class="tooltip00524" data-tooltip-content="#tooltip_content00524"><span class="tt">Combi-weapons</span></span></i> list.|false|
000000061|2|•|This model’s power sword can be replaced with one of the following: 1 chainfist; 1 lightning claw; 1 power axe; 1 power fist; 1 power maul; 1 relic blade; 1 thunder hammer; 1 storm shield (maximum 1 per model).|false|
000000061|3|•|If this model is equipped with 1 or more power fists, it can be equipped with 1 wrist-mounted grenade launcher.|false|
000000064|1|•|This model's bolt pistol can be replaced with one of the following: 1 master-crafted boltgun; 1 weapon from the <i><span class="tooltip00524" data-tooltip-content="#tooltip_content00524"><span class="tt">Combi-weapons</span></span></i> list; 1 weapon from the <i><span class="tooltip00525" data-tooltip-content="#tooltip_content00525"><span class="tt">Pistols</span></span></i> list; 1 weapon from the <i><span class="tooltip00526" data-tooltip-content="#tooltip_content00526"><span class="tt">Melee</span> <span class="tt">Weapons</span></span></i> list.|false|
000000064|2|•|This model’s Astartes chainsword can be replaced with one of the following: 1 weapon from the <i><span class="tooltip00526" data-tooltip-content="#tooltip_content00526"><span class="tt">Melee</span> <span class="tt">Weapons</span></span></i> list; 1 storm shield.|false|
000000065|1|•|This model's bolt pistol can be replaced with one of the following: 1 boltgun; 1 weapon from the <i><span class="tooltip00524" data-tooltip-content="#tooltip_content00524"><span class="tt">Combi-weapons</span></span></i> list; 1 weapon from the <i><span class="tooltip00525" data-tooltip-content="#tooltip_content00525"><span class="tt">Pistols</span></span></i> list.|false|
000000065|2|•|This model's force stave can be replaced with one of the following: 1 force axe; 1 force sword.|false|
000000065|3|•|This model can be equipped with 1 jump pack (<b>Power Rating +1</b>).|false|
000000066|1|•|This model can be equipped with 1 weapon from the <i><span class="tooltip00524" data-tooltip-content="#tooltip_content00524"><span class="tt">Combi-weapons</span></span></i> list.|false|
000000066|2|•|This model’s force stave can be replaced with one of the following: 1 force axe; 1 force sword.|false|
000000067|1|•|This model can be equipped with one of the following instead of 1 bolt pistol: 1 boltgun; 1 weapon from the <i><span class="tooltip00524" data-tooltip-content="#tooltip_content00524"><span class="tt">Combi-weapons</span></span></i> list; 1 weapon from the <i><span class="tooltip00525" data-tooltip-content="#tooltip_content00525"><span class="tt">Pistols</span></span></i> list.|false|
000000067|2|•|This model can be equipped with one of the following instead of 1 force stave: 1 force axe; 1 force sword.|false|
000000068|1|•|This model’s bolt pistol can be replaced with one of the following: 1 boltgun; 1 weapon from the <i><span class="tooltip00524" data-tooltip-content="#tooltip_content00524"><span class="tt">Combi-weapons</span></span></i> list; 1 weapon from the <i><span class="tooltip00525" data-tooltip-content="#tooltip_content00525"><span class="tt">Pistols</span></span></i> list.|false|
000000068|2|•|This model’s Omnissian power axe can be replaced with 1 weapon from the <i><span class="tooltip00526" data-tooltip-content="#tooltip_content00526"><span class="tt">Melee</span> <span class="tt">Weapons</span></span></i> list.|false|
000000068|3|•|If this model is not equipped with a helfrost pistol, it can be equipped with 1 flamer, 1 plasma cutter, and 1 servo-arm (<b>Power Rating +1</b>).|false|
000000068|4|•|This model can be equipped with 1 flamer, 1 plasma cutter, and 1 servo-arm (<b>Power Rating +1</b>).|false|
000000068|5|•|If this model is from the Space Wolves Chapter (or one of its successor Chapters) and it is not equipped with a plasma cutter, its bolt pistol and Omnissian power axe can be replaced with 1 helfrost pistol and 1 tempest hammer.|false|
000000068|6|•|If this model is not equipped with a plasma cutter, its bolt pistol and Omnissian power axe can be replaced with 1 helfrost pistol and 1 tempest hammer.|false|
000000069|1|•|Up to 2 Servitors can each have their servo-arm replaced with one of the following: 1 heavy bolter; 1 multi-melta; 1 plasma cannon.|false|
000000070|1|•|This model can be equipped with one of the following instead of 1 bolt pistol: 1 boltgun; 1 weapon from the <i><span class="tooltip00524" data-tooltip-content="#tooltip_content00524"><span class="tt">Combi-weapons</span></span></i> list; 1 weapon from the <i><span class="tooltip00525" data-tooltip-content="#tooltip_content00525"><span class="tt">Pistols</span></span></i> list.|false|
000000070|2|•|This model can be equipped with one of the following instead of 1 power axe: 1 weapon from the <i><span class="tooltip00527" data-tooltip-content="#tooltip_content00527"><span class="tt">Melee</span> <span class="tt">Weapons</span></span></i> list.|false|
000000070|3|•|If this model is not equipped with a servo-harness, it can be equipped with 1 conversion beamer instead of 1 servo-arm.|false|
000000070|4|•|This model can additionally be equipped with a servo-harness (<b>Power Rating +1</b>). A servo-harness is comprised of: 1 flamer; 1 plasma cutter; 1 servo-arm.|false|
000000071|1|•|This model’s bolt pistol can be replaced with one of the following: 1 boltgun; 1 weapon from the <i><span class="tooltip00524" data-tooltip-content="#tooltip_content00524"><span class="tt">Combi-weapons</span></span></i> list; 1 weapon from the <i><span class="tooltip00525" data-tooltip-content="#tooltip_content00525"><span class="tt">Pistols</span></span></i> list; 1 power fist.|false|
000000071|2|•|This model can be equipped with 1 jump pack (<b>Power Rating +1</b>).|false|
000000072|1|•|This model’s storm bolter can be replaced with 1 weapon from the <i><span class="tooltip00524" data-tooltip-content="#tooltip_content00524"><span class="tt">Combi-weapons</span></span></i> list.|false|
000000073|1|•|This model can be equipped with one of the following instead of 1 bolt pistol: 1 boltgun; 1 power fist; 1 weapon from the <i><span class="tooltip00524" data-tooltip-content="#tooltip_content00524"><span class="tt">Combi-weapons</span></span></i> list; 1 weapon from the <i><span class="tooltip00525" data-tooltip-content="#tooltip_content00525"><span class="tt">Pistols</span></span></i> list.|false|
000000076|1|•|This model’s bolt pistol and master-crafted auto bolt rifle can be replaced with one of the following:|false|
000000076|2|-|1 bolt pistol and 1 master-crafted stalker bolt rifle.|false|
000000076|3|-|1 bolt pistol and 1 master-crafted power sword.|false|
000000076|4|-|1 neo-volkite pistol, 1 master-crafted power sword and 1 storm shield (<b>Power Rating+1</b>).|false|
000000076|5|•|If this model is from the Dark Angels Chapter (or one of its successor Chapters), its bolt pistol can be replaced with 1 plasma pistol.|false|
000000076|6|•|This model’s bolt pistol can be replaced with 1 plasma pistol.|false|
000000076|7|•|If this model is from the Space Wolves Chapter (or one of its successor Chapters), its master-crafted auto bolt rifle can be replaced with 1 special issue bolt carbine and 1 master-crafted power axe.|false|
000000076|8|•|This model’s master-crafted auto bolt rifle can be replaced with 1 special issue bolt carbine and 1 master-crafted power axe.|false|
000000076|9||&nbsp;|false|
000000076|10||If a Primaris Lieutenant is from the Black Templars Chapter, you can use the following additional wargear options for them:|false|
000000076|11|•|This model’s master-crafted auto bolt rifle can be replaced with: 1 combi-flamer and 1 master-crafted power axe.|false|
000000076|12|•|This model’s bolt pistol and master-crafted auto bolt rifle can be replaced with one of the following:|false|
000000076|13|-|1 heavy bolt pistol and 1 Astartes chainsword.|false|
000000076|14|-|1 heavy bolt pistol and 1 master-crafted power sword.|false|
000000076|15|-|1 auto-plasma and 1 Astartes chainsword.|false|
000000076|16|-|1 auto-plasma and 1 master-crafted power sword.|false|
000000077|1|•|This model's bolt pistol can be replaced with one of the following: 1 boltgun; 1 weapon from the <i><span class="tooltip00524" data-tooltip-content="#tooltip_content00524"><span class="tt">Combi-weapons</span></span></i> list; 1 weapon from the <i><span class="tooltip00526" data-tooltip-content="#tooltip_content00526"><span class="tt">Melee</span> <span class="tt">Weapons</span></span></i> list; 1 weapon from the <i><span class="tooltip00525" data-tooltip-content="#tooltip_content00525"><span class="tt">Pistols</span></span></i> list.|false|
000000078|1|•|This model can be equipped with one of the following instead of 1 bolt pistol: 1 boltgun; 1 weapon from the <i><span class="tooltip00524" data-tooltip-content="#tooltip_content00524"><span class="tt">Combi-weapons</span></span></i> list; 1 weapon from the <i><span class="tooltip00527" data-tooltip-content="#tooltip_content00527"><span class="tt">Melee</span> <span class="tt">Weapons</span></span></i> list; 1 weapon from the <i><span class="tooltip00525" data-tooltip-content="#tooltip_content00525"><span class="tt">Pistols</span></span></i> list.|false|
000000082|1|•|Any number of models can each have their bolt pistol replaced with one of the following: 1 weapon from the <i><span class="tooltip00525" data-tooltip-content="#tooltip_content00525"><span class="tt">Pistols</span></span></i> list; 1 weapon from the <i><span class="tooltip00526" data-tooltip-content="#tooltip_content00526"><span class="tt">Melee</span> <span class="tt">Weapons</span></span></i> list; 1 storm shield [maximum 1 per model).|false|
000000082|2|•|Any number of models can each have their boltgun replaced with one of the following: 1 weapon from the <i><span class="tooltip00524" data-tooltip-content="#tooltip_content00524"><span class="tt">Combi-weapons</span></span></i> list; 1 weapon from the <i><span class="tooltip00526" data-tooltip-content="#tooltip_content00526"><span class="tt">Melee</span> <span class="tt">Weapons</span></span></i> list; 1 storm shield (maximum 1 per model).|false|
000000082|3|•|Any number of Company Veterans can each have their boltgun replaced with 1 weapon from the <i><span class="tooltip00528" data-tooltip-content="#tooltip_content00528"><span class="tt">Special</span> <span class="tt">Weapons</span></span></i> list.|false|
000000082|4|•|If this unit contains 5 models, 1 Company Veteran's boltgun can be replaced with 1 weapon from the <i><span class="tooltip00530" data-tooltip-content="#tooltip_content00530"><span class="tt">Heavy</span> <span class="tt">Weapons</span></span></i> list.|false|
000000082|5|•|If this unit is from the Dark Angels Chapter (or one of its successor Chapters), any number of its models that are not equipped with a storm shield can each be equipped with 1 combat shield.|false|
000000082|6|•|Any number of its models that are not equipped with a storm shield can each be equipped with 1 combat shield.|false|
000000083|1|•|The Veteran Biker Sergeant can be equipped with up to 2 weapons from the <i><span class="tooltip00531" data-tooltip-content="#tooltip_content00531"><span class="tt">Sergeant</span> <span class="tt">Weapons</span></span></i> list instead of 1 bolt pistol and 1 chainsword.|false|
000000083|2|•|Any Space Marine Veteran Biker can be equipped with one of the following instead of 1 bolt pistol: 1 storm shield; 1 weapon from the <i><span class="tooltip00527" data-tooltip-content="#tooltip_content00527"><span class="tt">Melee</span> <span class="tt">Weapons</span></span></i> list; 1 weapon from the <i><span class="tooltip00525" data-tooltip-content="#tooltip_content00525"><span class="tt">Pistols</span></span></i> list.|false|
000000083|3|•|Any Space Marine Veteran Biker can be equipped with one of the following instead of 1 chainsword: 1 boltgun; 1 storm shield; 1 weapon from the <i><span class="tooltip00524" data-tooltip-content="#tooltip_content00524"><span class="tt">Combi-weapons</span></span></i> list; 1 weapon from the <i><span class="tooltip00527" data-tooltip-content="#tooltip_content00527"><span class="tt">Melee</span> <span class="tt">Weapons</span></span></i> list; 1 weapon from the <i><span class="tooltip00525" data-tooltip-content="#tooltip_content00525"><span class="tt">Pistols</span></span></i> list; 1 weapon from the <i><span class="tooltip00528" data-tooltip-content="#tooltip_content00528"><span class="tt">Special</span> <span class="tt">Weapons</span></span></i> list.|false|
000000084|1|•|The Space Marine Sergeant’s bolt pistol can be replaced with one of the following: 1 weapon from the <i><span class="tooltip00525" data-tooltip-content="#tooltip_content00525"><span class="tt">Pistols</span></span></i> list; 1 weapon from the <i><span class="tooltip00526" data-tooltip-content="#tooltip_content00526"><span class="tt">Melee</span> <span class="tt">Weapons</span></span></i> list.|false|
000000084|2|•|The Space Marine Sergeant’s boltgun can be replaced with one of the following: 1 weapon from the <i><span class="tooltip00524" data-tooltip-content="#tooltip_content00524"><span class="tt">Combi-weapons</span></span></i> list; 1 weapon from the <i><span class="tooltip00525" data-tooltip-content="#tooltip_content00525"><span class="tt">Pistols</span></span></i> list; 1 weapon from the <i><span class="tooltip00526" data-tooltip-content="#tooltip_content00526"><span class="tt">Melee</span> <span class="tt">Weapons</span></span></i> list.|false|
000000084|3|•|If this unit contains 9 or fewer models, 1 Space Marine's boltgun can be replaced with one of the following: 1 weapon from the <i><span class="tooltip00530" data-tooltip-content="#tooltip_content00530"><span class="tt">Heavy</span> <span class="tt">Weapons</span></span></i> list; 1 weapon from the <i><span class="tooltip00528" data-tooltip-content="#tooltip_content00528"><span class="tt">Special</span> <span class="tt">Weapons</span></span></i> list.|false|
000000084|4|•|If this unit contains 10 models, 1 Space Marine’s boltgun can be replaced with 1 weapon from the <i><span class="tooltip00528" data-tooltip-content="#tooltip_content00528"><span class="tt">Special</span> <span class="tt">Weapons</span></span></i> list.|false|
000000084|5|•|If this unit contains 10 models, 1 Space Marine’s boltgun can be replaced with 1 weapon from the <i><span class="tooltip00530" data-tooltip-content="#tooltip_content00530"><span class="tt">Heavy</span> <span class="tt">Weapons</span></span></i> list.|false|
000000085|1|•|The Scout Sergeant's bolt pistol can be replaced with one of the following: 1 weapon from the <i><span class="tooltip00525" data-tooltip-content="#tooltip_content00525"><span class="tt">Pistols</span></span></i> list; 1 weapon from the <i><span class="tooltip00526" data-tooltip-content="#tooltip_content00526"><span class="tt">Melee</span> <span class="tt">Weapons</span></span></i> list.|false|
000000085|2|•|The Scout Sergeant’s boltgun can be replaced with one of the following: 1 weapon from the <i><span class="tooltip00524" data-tooltip-content="#tooltip_content00524"><span class="tt">Combi-weapons</span></span></i> list; 1 weapon from the <i><span class="tooltip00525" data-tooltip-content="#tooltip_content00525"><span class="tt">Pistols</span></span></i> list; 1 weapon from the <i><span class="tooltip00526" data-tooltip-content="#tooltip_content00526"><span class="tt">Melee</span> <span class="tt">Weapons</span></span></i> list.|false|
000000085|3|•|Any number of models can each have their boltgun replaced with one of the following: 1 Astartes shotgun; 1 Scout sniper rifle; 1 combat knife.|false|
000000085|4|•|1 Scout’s boltgun can be replaced with one of the following: 1 heavy bolter; 1 missile launcher; 1 weapon from the <i><span class="tooltip00528" data-tooltip-content="#tooltip_content00528"><span class="tt">Special</span> <span class="tt">Weapons</span></span></i> list. A model can only take a weapon from the <i>Special Weapons</i> list if it is from the Space Wolves Chapter (or one of its successor Chapters).|false|
000000085|5|•|1 Scout’s boltgun can be replaced with one of the following: 1 heavy bolter; 1 missile launcher; 1 weapon from the <i><span class="tooltip00528" data-tooltip-content="#tooltip_content00528"><span class="tt">Special</span> <span class="tt">Weapons</span></span></i> list.|false|
000000085|6|•|1 Scout’s boltgun can be replaced with one of the following: 1 heavy bolter; 1 missile launcher.|false|
000000085|7|•|If this unit is from the Space Wolves Chapter (or one of its successor Chapters), 1 Scout’s boltgun and bolt pistol can be replaced with one of the following:|false|
000000085|8|•|1 Scout’s boltgun and bolt pistol can be replaced with one of the following:|false|
000000085|9|-|1 bolt pistol and 1 power axe.|false|
000000085|10|-|1 bolt pistol and 1 power sword.|false|
000000085|11|-|1 boltgun and 1 plasma pistol.|false|
000000085|12|•|Any number of models can each be equipped with 1 camo cloak.|false|
000000086|1|•|All of the models in the unit can have their bolt rifle replaced with 1 auto bolt rifle each.|false|
000000086|2|•|All of the models in the unit can have their bolt rifle replaced with 1 stalker bolt rifle each.|false|
000000086|3|•|If the Intercessor Sergeant is not equipped with an Astartes chainsword, a power sword, a power fist or a thunder hammer, its bolt rifle, auto bolt rifle or stalker bolt rifle can be replaced with one of the following: 1 hand flamer; 1 plasma pistol; 1 Astartes chainsword; 1 power sword.|false|
000000086|4|•|If the Intercessor Sergeant is not equipped with an Astartes chainsword or a power sword, it can be equipped with one of the following: 1 Astartes chainsword; 1 power fist; 1 power sword; 1 thunder hammer.|false|
000000086|5|•|For every 5 models in this unit, 1 model equipped with a bolt rifle, auto bolt rifle or stalker bolt rifle can be equipped with 1 Astartes grenade launcher.|false|
000000091|1|•|Any number of models can each have their 2 flamers replaced with 2 meltaguns.|false|
000000091|2|•|Any number of models can each have their Centurion assault launcher replaced with 1 hurricane bolter.|false|
000000092|1|•|Any number of models can each have their special issue boltgun replaced with 1 weapon from the <i><span class="tooltip00524" data-tooltip-content="#tooltip_content00524"><span class="tt">Combi-weapons</span></span></i> list.|false|
000000092|2|•|The Sternguard Veteran Sergeant’s bolt pistol can be replaced with one of the following: 1 weapon from the <i><span class="tooltip00525" data-tooltip-content="#tooltip_content00525"><span class="tt">Pistols</span></span></i> list; 1 Astartes chainsword; 1 lightning claw; 1 power axe; 1 power fist; 1 power maul; 1 power sword.|false|
000000092|3|•|The Sternguard Veteran Sergeant’s special issue boltgun can be replaced with one of the following: 1 weapon from the <i><span class="tooltip00525" data-tooltip-content="#tooltip_content00525"><span class="tt">Pistols</span></span></i> list; 1 Astartes chainsword; 1 lightning claw; 1 power axe; 1 power fist; 1 power maul; 1 power sword.|false|
